Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Warnings,Region,Date Scanned
-32.901587299999996,151.7426501,,"Item 133, Item 134","Supermarket 'Coles' (est. GLA 3,500 sqm, brand: coles) with no adjacent pharmacy (nearest 156 m). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Shopping centre 'Muster Point' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Large supermarket present but only 20 est. tenants (needs 50+) | Shopping centre 'Bottlemart' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Large supermarket present but only 20 est. tenants (needs 50+)",75%,0.16,Chemist Warehouse,Coles,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.000029
-33.2161935,151.2104899,,Item 131,"Near 'Sciberras fresh (fruits and veggies)' (supermarket); straight-line 20.64 km, est. route 26.83 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,20.64,Chemist Outlet North Wyong,Sciberras fresh (fruits and veggies),supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.002028
-33.4272308,148.3689384,,Item 131,"Near 'Eugowra Supermarket & Newsagency' (supermarket); straight-line 30.98 km, est. route 40.28 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,30.98,Canowindra Pharmacy,Eugowra Supermarket & Newsagency,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.003029
-36.50245285,148.83496524999998,,"Item 131, Item 134","Near 'Cool Country Cuisine Gourmet Condiments' (supermarket); straight-line 15.21 km, est. route 19.77 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Shopping centre 'Iona Gardens Cafe and Nursery' (GLA 5,000 sqm, est. 20 tenants) with supermarket but no pharmacy. Borderline: 20 est. tenants, supermarket size uncertain",70%,15.21,Berridale Pharmacy,Cool Country Cuisine Gourmet Condiments,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.004028
-31.4611716,151.1275861,,Item 131,"Near 'Nundle Friendly Grocer Supermarket' (supermarket); straight-line 41.26 km, est. route 53.64 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,41.26,TerryWhite Chemmart Calala,Nundle Friendly Grocer Supermarket,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.005028
-31.60572225,152.46791515,,Item 131,"Near 'Comboyne LPO' (supermarket); straight-line 27.49 km, est. route 35.73 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Near '5 Star Supermarket' (supermarket); straight-line 27.49 km, est. route 35.74 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,27.49,Your Discount Chemist Lakewood,Comboyne LPO,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.006028
-28.7245913,149.5785637,,Item 131,"Near 'Boomi Co-Op' (supermarket); straight-line 63.91 km, est. route 83.09 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,63.91,Mungindi Pharmacy,Boomi Co-Op,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.007028
-32.8063184,149.0766767,,Item 131,"Near 'Stuart Town Shop' (supermarket); straight-line 30.85 km, est. route 40.10 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,30.85,Keirle's Pharmacy,Stuart Town Shop,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.008028
-35.996638,148.7738012,,Item 131,"Near 'Adaminaby Store' (supermarket); straight-line 41.28 km, est. route 53.67 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",70%,41.28,Hook's Pharmacy,Adaminaby Store,supermarket,Pharmacy must NOT be directly accessible from supermarket,NSW,2026-02-14T22:03:58.009028
-34.669114,148.6335338,,Item 131,"Near 'Baby Health Centre' (gp); straight-line 26.99 km, est. route 35.09 km from nearest pharmacy",70%,26.99,Boorowa Pharmacy,Baby Health Centre,gp,,NSW,2026-02-14T22:03:58.010028
