national_rank,state_rank,tier,opportunity_type,financial_score,confidence_score,population_score,competition_score_rank,growth_score,composite_score,est_annual_revenue,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_profit,worst_roi,best_profit,best_roi,latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,market_share,est_annual_scripts,gp_fte,growth_indicator,growth_details
576,10,D - Marginal,Remote/Rural,0.0,80.0,4.4,100.0,0.0,31.7,346896.0,-209931.2,657500,-0.3193,999.0,-2048359.49,-313748.7,-0.4772,-115743.02,-0.176,-12.3286593,134.9289942,,Ramingining Health Centre,gp,NT,"Item 131, Item 134A",90%,202.51,Gove Pharmacy,1314,1314,0,0.8,13665,0.0,,
577,107,D - Marginal,Remote/Rural,0.0,80.0,4.6,100.0,0.0,31.7,366168.0,-209149.6,657500,-0.3181,999.0,-2043181.15,-316868.07,-0.4819,-110973.19,-0.1688,-17.94200375,138.82874765000003,,Doomadgee Community Health Service,gp,QLD,"Item 131, Item 134A",90%,218.67,Karumba Pharmacy,1387,1387,0,0.8,14424,0.0,,
578,11,D - Marginal,Remote/Rural,0.0,80.0,3.8,100.0,0.0,31.6,304392.0,-222682.4,657500,-0.3387,999.0,-2132840.16,-319550.49,-0.486,-136187.45,-0.2071,-12.3266273,133.0560544,"Adjumarllarl Store & Takeaway, Jabiru Oenpelli Road, Gunbalanya, West Arnhem Region, Northern Territory, Australia",Adjumarllarl Store & Takeaway,supermarket,NT,"Item 131, Item 134A",90%,214.03,TerryWhite Chemmart Humpty Doo,1153,1153,0,0.8,11991,0.0,,
579,12,D - Marginal,Remote/Rural,0.0,80.0,3.8,100.0,0.0,31.6,304392.0,-222682.4,657500,-0.3387,999.0,-2132840.16,-319550.49,-0.486,-136187.45,-0.2071,-12.3217551,133.0548208,,Gunbalanya Health Centre,gp,NT,"Item 131, Item 134A",90%,213.97,TerryWhite Chemmart Humpty Doo,1153,1153,0,0.8,11991,0.0,,
581,13,D - Marginal,Remote/Rural,0.0,80.0,3.2,100.0,0.0,31.5,252120.0,-238364.0,657500,-0.3625,999.0,-2236735.64,-326685.62,-0.4969,-161330.28,-0.2454,-16.0566031,136.3067226,,Redimart,supermarket,NT,"Item 131, Item 134A",90%,433.71,Gove Pharmacy,955,955,0,0.8,9932,0.0,,
582,14,D - Marginal,Remote/Rural,0.0,80.0,3.2,100.0,0.0,31.5,252120.0,-238364.0,657500,-0.3625,999.0,-2236735.64,-326685.62,-0.4969,-161330.28,-0.2454,-16.0545005,136.305245,,Borroloola Health Centre,gp,NT,"Item 131, Item 134A",90%,433.50,Gove Pharmacy,955,955,0,0.8,9932,0.0,,
583,15,D - Marginal,Remote/Rural,0.0,80.0,3.6,100.0,0.0,31.5,287232.0,-227830.4,657500,-0.3465,999.0,-2166947.26,-321892.83,-0.4896,-144441.41,-0.2197,-14.7295132,134.7335675,,Ngukurr Health Centre,gp,NT,"Item 131, Item 134A",90%,267.18,Pharmasave Katherine Pharmacy,1088,1088,0,0.8,11315,0.0,,
584,16,D - Marginal,Remote/Rural,0.0,80.0,3.7,100.0,0.0,31.5,289608.0,-227117.6,657500,-0.3454,999.0,-2162224.74,-321568.51,-0.4891,-143298.55,-0.2179,-12.1054153,134.9224568,,Supermarket,supermarket,NT,"Item 131, Item 134A",90%,202.88,Gove Pharmacy,1097,1097,0,0.8,11408,0.0,,
585,108,D - Marginal,Remote/Rural,0.0,80.0,3.4,100.0,0.0,31.5,269808.0,-238057.6,657500,-0.3621,999.0,-2234705.64,-330021.21,-0.5019,-157322.35,-0.2393,-16.6647062,139.1804346,,Mornington Island Hospital,hospital,QLD,"Item 131, Item 134A",90%,198.46,Karumba Pharmacy,1022,1022,0,0.8,10628,0.0,,
586,36,D - Marginal,Remote/Rural,0.0,80.0,3.0,100.0,0.0,31.5,239448.0,-252165.6,657500,-0.3835,999.0,-2328175.53,-339915.35,-0.517,-176425.51,-0.2683,-16.9810617,122.6650396,"Beagle Bay Community Store, Bishop Place, Dampier Peninsula, Beagle Bay, Shire Of Broome, Western Australia, 6725, Australia",Beagle Bay Community Store,supermarket,WA,"Item 131, Item 134A",90%,108.66,Kimberley Pharmacy Services (Derby),907,907,0,0.8,9432,0.0,,
