osm_id,name,brand,brand_classified,lat,lon,area_sqm,address,operator,source
node/4726982644,Coles,Coles,coles,-32.5656019,151.1648281,,74-76 John Street,Coles Group,node
node/4727129892,Woolworths,Woolworths,woolworths,-33.9200959,151.2538217,,,Woolworths Group,node
node/4731747896,IGA,IGA,iga,-23.1998406,117.6709797,,,,node
node/4732038552,IGA,IGA,iga,-35.9111472,150.0838781,,,,node
node/4733192148,Coles,Coles,coles,-35.0703788,150.6744601,,5 Burton Street,,node
node/4733321523,Jusco Supermarket,,independent,-33.7789905,151.0530225,,2118,,node
node/4733467049,Farmer Jacks,,independent,-31.740915,115.7383122,,,,node
node/4737439021,Sciberras fresh (fruits and veggies),,independent,-33.2161935,151.2104899,,,,node
node/4737562021,IGA,IGA,iga,-37.8224729,144.9650768,,89-91 City Road,,node
node/4742485532,Coles Local,Coles Local,coles,-33.7989581,151.2852807,,8-28 The Corso,Coles Group,node
node/4746382421,Coles,Coles,coles,-16.4822401,145.462899,,11-17 Macrossan Street,Coles Group,node
node/4747724226,BindoonIGA,,iga,-31.3853352,116.0956328,,,,node
node/4751840538,Woolworths,Woolworths,woolworths,-37.8979027,144.7267297,,,Woolworths Group,node
node/4753942647,Weir's IGA,,iga,-36.3701371,142.9821378,,"41-43 Woods Street, Donald, 3480",IGA,node
node/4757352823,Woolworths,Woolworths,woolworths,-26.8046219,153.1227863,,,Woolworths Group,node
node/4758910022,Blackwoods,,independent,-12.4299279,130.872578,,,,node
node/4770463648,ALDI,ALDI,aldi,-31.8706627,115.8616562,,"43 Yirrigan Drive, WA",Aldi Australia,node
node/4770480923,IGA,IGA,iga,-18.2576091,146.0191871,,,,node
node/4773896422,Aldi,Aldi,aldi,-24.8706296,152.3471677,,19 Maryborough Street,,node
node/4776007451,Foodworks,Foodworks,foodworks,-37.8528305,144.7754259,,"54-56 Bladin Street, Laverton, 3028",Foodworks,node
node/4776111975,ALDI,ALDI,aldi,-36.7038221,144.3168295,,182-192 Midland Highway,,node
node/4785452922,Coles,Coles,coles,-26.4966674,153.0799654,,1 Ridgeview Drive,Coles Supermarkets Australia Pty Ltd,node
node/4789102622,Spar,Spar,spar,-25.2849286,152.8701238,,,,node
node/4791141123,IGA,IGA,iga,-36.378887,141.2390166,,,,node
node/4793241132,Coles,Coles,coles,-37.711603,144.7415653,,"127 Gourlay Road, Taylors Hill, VIC, 3037",Coles Group,node
node/4796189803,IGA,IGA,iga,-37.8034488,145.0841241,,"255 Belmore Road, Balwyn North, 3104",,node
node/4800038721,Rapisdara Melons,,independent,-19.8276291,147.2279558,,,,node
node/4803278250,Woolworths,Woolworths,woolworths,-33.9527939,151.0512303,,"247 Belmore Road, Riverwood, NSW, 2210",Woolworths Group,node
node/4806858321,Foodworks,Foodworks,foodworks,-27.5539023,152.9750709,,,,node
node/4821986522,RH Hypermarket,,independent,-9.4375164,147.1813692,,,Rimbujan Hijau,node
node/4827098218,unkown (minimarket),,independent,-28.539757,115.5119191,,,,node
node/4836645274,Coles,Coles,coles,-34.8651156,138.5809885,,390 Churchill Road,Coles Group,node
node/4839519621,Woolworths,Woolworths,woolworths,-33.7434269,150.9223303,,,,node
node/4844785388,Foodland,Foodland,foodland,-34.9904633,138.827178,,,,node
node/4854573422,Foodworks,Foodworks,foodworks,-33.8964409,151.1537982,,,,node
node/4855714667,Woolworths,Woolworths,woolworths,-38.0117526,145.1606959,,,Woolworths Group,node
node/4873406500,Foodland,Foodland,foodland,-37.3814115,140.8384089,,"27 Church Street, Penola",,node
node/4875093169,Coles,Coles,coles,-37.7017311,144.574255,,11-17 Station Road,,node
node/4891030430,Coles,Coles,coles,-18.6508476,146.153403,,47-55 Lannercost Street,Coles Group,node
node/4894705318,Coles,Coles,coles,-31.9647824,141.4549711,,,Coles Group,node
node/4917989124,IGA,IGA,iga,-17.0917895,145.7854601,,,,node
node/4919966115,IGA,IGA,iga,-32.5816507,115.6624222,,,,node
node/4920495235,IGA,IGA,iga,-34.9664035,138.5362632,,104 Morphett Road,IGA,node
node/4924219553,Woolworths,Woolworths,woolworths,-33.9027374,151.1946733,,,Woolworths Group,node
node/4925840021,Coles,Coles,coles,-28.2973795,153.570242,,482 Casuarina Way,Coles Group,node
node/4927859321,Woolworths,Woolworths,woolworths,-28.3319381,153.5690291,,,Woolworths Group,node
node/4930792221,Supamart,,independent,-33.8761678,151.1779475,,"1 Dalgal Way, Forest Lodge, 2037",,node
node/4931691822,Coles,Coles,coles,-27.5577584,153.0810816,,1974 Logan Road,Coles Group,node
node/4935165149,IGA,IGA,iga,-32.5206714,115.7310453,,,,node
node/4935336424,Coles,Coles,coles,-37.8319294,144.9609368,,"229 Coventry Street, 3205",Coles Group,node
node/4945030021,Aldi,Aldi,aldi,-27.5002231,153.0450733,,"405 Logan Road, Stones Corner, QLD, 4120",,node
node/4954092952,Woolworths,Woolworths,woolworths,-33.6860202,150.9513799,,,Woolworths Group,node
node/4956462389,Coles,Coles,coles,-33.8930023,151.2482435,,,Coles Group,node
node/4957699921,Aldi,Aldi,aldi,-26.6616268,153.0823373,,20 Flinders Lane,,node
node/4958278513,Foodworks,,foodworks,-38.0040859,145.4095133,,"4 St Georges Road, Beaconsfield Upper, 3808",,node
node/4965290221,Gearings Local Supermarket,,independent,-28.8025095,114.625062,,"1 Irene Street, Mount Tarcoola, WA, 6530",,node
node/4968262021,MC's Indian & Island Food,,independent,-27.6317832,153.119474,,"268 Kingston Road, 4127",,node
node/4970302827,Foodworks,Foodworks,foodworks,-28.5476577,150.3053541,,,,node
node/4971489094,Woolworths,Woolworths,woolworths,-33.9125035,151.1180258,,"2A-E Charles Street, Canterbury, 2193",Woolworths Group,node
node/4971615524,GloHealth,,independent,-37.8847136,145.003886,,,,node
node/4971995418,IGA,IGA,iga,-31.0798723,152.8308344,,,,node
node/4972926265,Santo's Organic,,independent,-28.6466067,153.6129809,,,,node
node/4974849021,IGA,IGA,iga,-31.8798974,115.8810388,,"Wellington Road, 6062",,node
node/4974881941,IGA,IGA,iga,-33.8636718,151.0885904,,,,node
node/4983184428,Harris Farm Markets,Harris Market Farms,harris_farm,-33.8895763,151.2717565,,"61 Hall Street, 2026",,node
node/4983992021,Earth Food Store,,independent,-33.8905654,151.2735812,,"81a Gould Street, 2026",,node
node/4984760726,Woolworths Metro,Woolworths Metro,woolworths,-27.4823072,153.0236606,,"217 Grey Street, South Brisbane, QLD, 4101",Woolworths Group,node
node/4986166743,Coles,Coles,coles,-33.9232794,151.1018842,,"60 Charlotte Street, 2194",Coles Group,node
node/4993840251,Foodland,Foodland,foodland,-35.0071461,138.7176763,,"5 Johnston Street, Stirling, SA, 5152",Romeo's Retail Group,node
node/5006548912,Dulwich Grocer,,independent,-34.9355609,138.6315211,,"1 Stuart Road, Dulwich, 5065",,node
node/5007271493,IGA,IGA,iga,-37.7530941,145.696844,,,,node
node/5009375193,Coles,Coles,coles,-37.8596976,144.6665023,,"Tarneit Road & Hogans Road, 3029",Coles Group,node
