Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score,Growth Indicator,Growth Details
-24.243356,131.510436,,"Item 131, Item 134A","Near 'Medical Practice' (gp); straight-line 247.95 km, est. route 322.34 km from nearest pharmacy | Very remote -- 'Medical Practice' (gp) is 247.95 km from nearest pharmacy (threshold 90 km)",90%,247.95,United Chemists Northside Pharmacy NT,Medical Practice,gp,NT,2026-02-14T21:57:47.500438,600,600,600,Unknown,0,-1,810.0,0,0,0,0,0,0.0,,148770.0,,
-13.8514094,136.4177153,,"Item 131, Item 134A","Near 'Xpress Mart' (supermarket); straight-line 189.67 km, est. route 246.56 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Xpress Mart' (supermarket) is 189.67 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,189.67,Gove Pharmacy,Xpress Mart,supermarket,NT,2026-02-14T21:57:47.488438,751,751,751,Alyangula,751,0.26,1013.9,0,0,0,0,0,0.0,,142442.2,,
-12.6641036,132.8365538,,"Item 131, Item 134A","Near 'Aurora Kakadu Lodge' (supermarket); straight-line 188.55 km, est. route 245.12 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Aurora Kakadu Lodge' (supermarket) is 188.55 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,188.55,TerryWhite Chemmart Humpty Doo,Aurora Kakadu Lodge,supermarket,NT,2026-02-14T21:57:47.490438,755,755,755,Jabiru,755,1.08,1019.2,0,0,0,0,0,0.0,,142355.2,,
-13.8480945,136.4212055,,"Item 131, Item 134A","Near 'Alyangula Health Centre' (gp); straight-line 189.23 km, est. route 245.99 km from nearest pharmacy | Very remote -- 'Alyangula Health Centre' (gp) is 189.23 km from nearest pharmacy (threshold 90 km)",90%,189.23,Gove Pharmacy,Alyangula Health Centre,gp,NT,2026-02-14T21:57:47.524439,751,751,751,Alyangula,751,0.36,1013.9,0,0,0,0,0,0.0,,142111.7,,
-16.8149686,131.2201018,,"Item 131, Item 134A","Near 'Pigeon Hole Health Centre' (gp); straight-line 284.11 km, est. route 369.34 km from nearest pharmacy | Very remote -- 'Pigeon Hole Health Centre' (gp) is 284.11 km from nearest pharmacy (threshold 90 km)",90%,284.11,Territory Pharmacy Terrace,Pigeon Hole Health Centre,gp,NT,2026-02-14T21:57:47.536438,500,500,500,Unknown,0,-1,675.0,0,0,0,0,0,0.0,,142055.0,,
-12.67222565,132.83186485,"Jabiru Community Health Centre, Flinders Street, Jabiru, West Arnhem Region, Northern Territory, 0886, Australia","Item 131, Item 134A","Near 'Jabiru Foodland' (supermarket); straight-line 188.13 km, est. route 244.56 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Near 'Jabiru Community Health Centre' (gp); straight-line 188.06 km, est. route 244.48 km from nearest pharmacy | Very remote -- 'Jabiru Foodland' (supermarket) is 188.13 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Jabiru Community Health Centre' (gp) is 188.06 km from nearest pharmacy (threshold 90 km)",90%,188.13,TerryWhite Chemmart Humpty Doo,Jabiru Foodland,supermarket,NT,2026-02-14T21:57:47.468439,755,755,755,Jabiru,755,0.54,1019.2,0,0,0,0,0,0.0,,142038.1,,
-15.2215285,134.0826122,,"Item 131, Item 134A","Near 'Minyerri Health Clinic' (gp); straight-line 212.60 km, est. route 276.38 km from nearest pharmacy | Very remote -- 'Minyerri Health Clinic' (gp) is 212.60 km from nearest pharmacy (threshold 90 km)",90%,212.60,Pharmasave Katherine Pharmacy,Minyerri Health Clinic,gp,NT,2026-02-14T21:57:47.547438,650,650,650,Minyerri,650,0.08,877.5,0,0,0,0,0,0.0,,138190.0,,
-11.6499096,133.3904146,,"Item 131, Item 134A","Near 'Warruwi Health Centre' (gp); straight-line 269.26 km, est. route 350.04 km from nearest pharmacy | Very remote -- 'Warruwi Health Centre' (gp) is 269.26 km from nearest pharmacy (threshold 90 km)",90%,269.26,TerryWhite Chemmart Humpty Doo,Warruwi Health Centre,gp,NT,2026-02-14T21:57:47.542438,432,432,432,Warruwi,432,0.04,583.2,0,0,0,0,0,0.0,,116320.3,,
-24.873671,129.081225,,"Item 131, Item 134A","Near 'Kaltukatjara Health Centre' (gp); straight-line 503.15 km, est. route 654.10 km from nearest pharmacy | Very remote -- 'Kaltukatjara Health Centre' (gp) is 503.15 km from nearest pharmacy (threshold 90 km)",90%,503.15,Territory Pharmacy Alice Springs,Kaltukatjara Health Centre,gp,NT,2026-02-14T21:57:47.529438,229,229,229,Unknown,0,-1,309.2,0,0,0,0,0,0.0,,115221.3,,
-24.8735525,129.0834813,,"Item 131, Item 134A","Near 'Docker River Community Store' (supermarket); straight-line 502.93 km, est. route 653.81 km from nearest pharmacy. ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance. | Very remote -- 'Docker River Community Store' (supermarket) is 502.93 km from nearest pharmacy (threshold 90 km). ⚠️ SUPERMARKET ACCESS RULE: The proposed pharmacy must NOT be directly accessible by the public from within a supermarket. Ensure separate public entrance.",90%,502.93,Territory Pharmacy Alice Springs,Docker River Community Store,supermarket,NT,2026-02-14T21:57:47.489438,229,229,229,Unknown,0,-1,309.2,0,0,0,0,0,0.0,,115171.0,,
