Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score
-35.4503864,149.083928,,Item 133,"Supermarket 'IGA' (1,200 sqm) with no adjacent pharmacy (nearest 1.01 km)",65%,1.01,Lanyon Pharmacy,IGA,supermarket,ACT,2026-02-14T16:49:26.811397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Lanyon Pharmacy (1m),86900,104738,142600,Tuggeranong,86900,3.35,54463.8,10,16,39,21,18,75.5,"Lanyon Pharmacy (1.0km, ind); Lanyon Pharmacy (1.1km, ind); Capital Chemist Isabella Plains (2.5km, chain)",1382.8
-35.29491495,149.18960420000002,"Mustang Avenue, Canberra, Australian Capital Territory, 2609, Australia","Item 133, Item 134","Supermarket 'Harris Farm Markets' (2,000 sqm) with no adjacent pharmacy (nearest 353 m) | Shopping centre 'EG Australia' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.39,Chemist Warehouse Majura Park SC,EG Australia,shopping_centre,ACT,2026-02-14T16:49:26.777397,VERIFIED,No pharmacies found in OSM within search radius,302918,492011,522266,Canberra,466566,8.02,110702.5,7,42,87,50,37,161.0,"Chemist Warehouse Majura Park SC (0.4km, chain); Chemist Warehouse Majura Park SC (0.5km, chain); Campbell Pharmacy (3.3km, ind)",1184.5
-35.2767939,149.1254502,"Daily Market, 35, Childers Street, City, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",Item 133,"Supermarket 'Daily Market' (1,500 sqm) with no adjacent pharmacy (nearest 345 m)",65%,0.35,Chemist on Nourthbourne,Daily Market,supermarket,ACT,2026-02-14T16:49:26.786397,VERIFIED,All 6 nearby OSM pharmacies already in DB: Chemist on Nourthbourne (0m); University Pharmacy (0m); Develin’s City Chemist (1m),157079,519965,522266,Canberra,466566,3.19,101393.2,19,71,99,58,41,218.0,"Chemist on Nourthbourne (0.3km, ind); The Pharmacy on Northbourne (0.3km, ind); University Pharmacy (0.5km, ind)",831.0
-35.24191488,149.05936444,,Item 133,"Supermarket 'Asian Supa Grocery' (1,500 sqm) with no adjacent pharmacy (nearest 333 m) | Supermarket 'Bharat International' (1,500 sqm) with no adjacent pharmacy (nearest 270 m) | Supermarket 'Bangla Bazaar. Belconnen Halal Market' (1,500 sqm) with no adjacent pharmacy (nearest 217 m) | Supermarket 'Apna Indian Bazaar' (1,500 sqm) with no adjacent pharmacy (nearest 303 m) | Supermarket 'Namaste Canberra Grocery' (1,500 sqm) with no adjacent pharmacy (nearest 331 m)",65%,0.33,Chemist Discount Centre Belconnen,Asian Supa Grocery,supermarket,ACT,2026-02-14T16:49:26.798397,VERIFIED,All 11 nearby OSM pharmacies already in DB: Open Mobility (0m); Amcal (1m); Amcal (1m),343863,478441,522266,Canberra,466566,7.27,93296.0,26,57,85,48,37,192.0,"Chemist Discount Centre Belconnen (0.3km, ind); Open Mobility (0.4km, ind); Amcal (0.6km, chain)",818.1
-35.3522363,149.0868751,"Spice World, Colbee Court, Phillip Business District, Phillip, District of Woden Valley, Australian Capital Territory, 2606, Australia",Item 133,"Supermarket 'Spice World' (1,500 sqm) with no adjacent pharmacy (nearest 258 m)",65%,0.26,Colbee Court Chemist,Spice World,supermarket,ACT,2026-02-14T16:49:26.781397,VERIFIED,All 5 nearby OSM pharmacies already in DB: Colbee Court Pharmacy (0m); Priceline pharmacy (1m); Chemist Warehouse (1m),489581,609166,609166,Woden,33000,0.7,118787.4,23,52,92,53,39,193.5,"Colbee Court Chemist (0.3km, ind); Priceline Pharmacy Woden (0.4km, chain); My Pharmacy Woden (0.7km, ind)",814.3
-35.4178762,149.0689186,"Aldi, 0, Anketell Street, Greenway, District of Tuggeranong, Australian Capital Territory, 2900, Australia",Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 196 m)",75%,0.2,Capital Chemist Tuggeranong Square,Aldi,supermarket,ACT,2026-02-14T16:49:26.772398,VERIFIED,No pharmacies found in OSM within search radius,86900,409209,609166,Tuggeranong,86900,2.13,92072.0,14,32,48,26,22,107.0,"Capital Chemist Tuggeranong Square (0.2km, chain); Pharmacy 4 Less Tuggeranong (0.2km, ind); Priceline Pharmacy Tuggeranong (0.2km, chain)",757.8
-35.345,149.0865,"Bowes Street, Phillip, District of Woden Valley, Australian Capital Territory, 2606, Australia",Item 132,"Major shopping centre 'Westfield Woden' (GLA 56,000 sqm) with no pharmacy within 200 m",85%,0.21,Priceline Pharmacy Woden,Westfield Woden,shopping_centre,ACT,2026-02-14T16:49:26.767398,VERIFIED,All 5 nearby OSM pharmacies already in DB: Priceline pharmacy (0m); Chemist Warehouse (0m); Colbee Court Pharmacy (1m),515288,609166,609166,Woden,33000,0.87,155337.3,22,52,94,54,40,195.0,"Priceline Pharmacy Woden (0.2km, chain); My Pharmacy Woden (0.2km, ind); Chemist Warehouse (0.2km, chain)",652.7
-35.1833652,149.1364271,,Item 133,"Supermarket 'Discount Grocery Gunghalin' (1,500 sqm) with no adjacent pharmacy (nearest 286 m)",65%,0.29,Priceline Pharmacy,Discount Grocery Gunghalin,supermarket,ACT,2026-02-14T16:49:26.802397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Priceline Pharmacy (0m),28192,298910,466566,Canberra,466566,13.1,58287.5,13,42,60,35,25,132.5,"Priceline Pharmacy (0.3km, chain); TerryWhite Chemmart Gungahlin (0.3km, chain); Priceline Pharmacy Gungahlin (0.5km, chain)",649.3
-35.2417553,149.0631979,,Item 133,"Supermarket 'Oriental Groceries' (1,500 sqm) with no adjacent pharmacy (nearest 223 m)",65%,0.22,Open Mobility,Oriental Groceries,supermarket,ACT,2026-02-14T16:49:26.800397,VERIFIED,All 11 nearby OSM pharmacies already in DB: Open Mobility (0m); Amcal (0m); Amcal (0m),352553,478699,522266,Canberra,466566,7.11,93346.3,26,58,86,49,37,194.5,"Open Mobility (0.2km, ind); Priceline Belconnen (0.4km, chain); Amcal (0.4km, chain)",538.7
-35.4147922,149.1291264,"Aldi, 36, Benham Street, Chisholm, District of Tuggeranong, Australian Capital Territory, 2905, Australia",Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 120 m)",75%,0.12,Capital Chemist Chisholm,Aldi,supermarket,ACT,2026-02-14T16:49:26.773398,VERIFIED,All 1 nearby OSM pharmacies already in DB: Capital Chemist (0m),110228,423218,609166,Tuggeranong,86900,3.42,95224.0,6,36,58,32,26,116.0,"Capital Chemist Chisholm (0.1km, chain); Priceline Pharmacy Gowrie (1.8km, chain); Capital Chemist Calwell (2.6km, chain)",434.1
-35.2390154,149.0609205,,Item 133,"Supermarket 'Great Ceylonese Asia Grocery Store' (1,500 sqm) with no adjacent pharmacy (nearest 170 m)",65%,0.17,Open Mobility,Great Ceylonese Asia Grocery Store,supermarket,ACT,2026-02-14T16:49:26.799397,VERIFIED,All 10 nearby OSM pharmacies already in DB: Open Mobility (0m); Amcal (0m); Amcal (0m),332690,472017,522266,Canberra,466566,7.47,92043.3,27,57,85,48,37,193.0,"Open Mobility (0.2km, ind); Chemist Discount Centre Belconnen (0.3km, ind); Amcal (0.3km, chain)",413.6
-35.22155135,149.01891899999998,"Hardwick Crescent, Holt, District of Belconnen, Australian Capital Territory, 2615, Australia",Item 133,"Supermarket 'Indian Grocery Store' (1,500 sqm) with no adjacent pharmacy (nearest 152 m) | Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 139 m)",75%,0.14,Kippax Pharmacy,Aldi,supermarket,ACT,2026-02-14T16:49:26.775398,VERIFIED,All 2 nearby OSM pharmacies already in DB: Caremore Pharmacy (0m); TerryWhite Chemmart (1m),126171,396888,489266,Canberra,466566,11.29,89299.8,19,34,65,37,28,136.5,"Kippax Pharmacy (0.1km, ind); TerryWhite Chemmart (1.3km, chain); TerryWhite Chemmart Charnwood (2.3km, chain)",404.1
-35.3165265,149.1428659,,Item 133,"Supermarket 'Supabarn' (1,500 sqm) with no adjacent pharmacy (nearest 151 m)",65%,0.15,Capital Chemist Kingston,Supabarn,supermarket,ACT,2026-02-14T16:49:26.803398,VERIFIED,All 2 nearby OSM pharmacies already in DB: Capital Chemist (0m); iChemist (1m),180417,558734,609166,Canberra,466566,4.32,108953.1,24,55,100,60,40,209.0,"Capital Chemist Kingston (0.2km, chain); Barton Pharmacy (0.9km, ind); The Pharmacy on Franklin (0.9km, ind)",399.1
-35.2013084,149.1496063,,Item 133,"Supermarket 'Hualong Grocery' (1,500 sqm) with no adjacent pharmacy (nearest 148 m)",65%,0.15,Discount Drug Store Franklin,Hualong Grocery,supermarket,ACT,2026-02-14T16:49:26.801397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Discount Drug Store (0m),110788,381506,466566,Canberra,466566,11.57,74393.7,13,49,64,35,29,143.5,"Discount Drug Store Franklin (0.1km, ind); Priceline Pharmacy Gungahlin (1.9km, chain); Cincotta Discount Chemist Mitchell (2.0km, chain)",396.0
-35.278697,149.1339388,"Petrie Street, City, North Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 118 m) | Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 105 m)",75%,0.12,The Pharmacy on Bunda,Aldi,supermarket,ACT,2026-02-14T16:49:26.774398,VERIFIED,All 5 nearby OSM pharmacies already in DB: Allure Pharmacy (0m); Pharmacy on Bunda (0m); Develin’s City Chemist (0m),157079,515819,522266,Canberra,466566,3.63,116059.3,19,66,99,58,41,213.0,"The Pharmacy on Bunda (0.1km, ind); Priceline Pharmacy Canberra Centre (0.2km, chain); Allure Pharmacy (0.2km, ind)",289.2
-35.25056373333333,149.1369452,,Item 133,"Supermarket 'Swan Asian Grocery' (1,500 sqm) with no adjacent pharmacy (nearest 113 m) | Supermarket 'Deji Asian Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 218 m) | Supermarket 'Abuy Asian Grocery' (1,500 sqm) with no adjacent pharmacy (nearest 177 m)",65%,0.11,Capital Chemist Dickson,Swan Asian Grocery,supermarket,ACT,2026-02-14T16:49:26.793397,VERIFIED,All 4 nearby OSM pharmacies already in DB: Capital Chemist (0m); Cincotta Discount Chemist (0m); Capital Chemist Lyneham (1m),404251,478276,522266,Canberra,466566,6.15,93263.8,19,61,92,54,38,199.0,"Capital Chemist Dickson (0.2km, chain); Cincotta Discount Chemist Dickson (0.2km, chain); Capital Chemist Lyneham (1.1km, chain)",263.1
-35.4566612,149.0936926,"Aldi, 9, Sidney Nolan Street, Conder, District of Tuggeranong, Australian Capital Territory, 2906, Australia",Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 127 m)",75%,0.13,Lanyon Pharmacy,Aldi,supermarket,ACT,2026-02-14T16:49:26.778398,VERIFIED,All 1 nearby OSM pharmacies already in DB: Lanyon Pharmacy (0m),86900,96505,142600,Tuggeranong,86900,3.97,21713.6,6,15,39,21,18,70.5,"Lanyon Pharmacy (0.1km, ind); Lanyon Pharmacy (0.2km, ind); Capital Chemist Calwell (3.1km, chain)",175.5
-35.1597876,149.1005341,,Item 133,"Supermarket 'Casey Superstore' (1,500 sqm) with no adjacent pharmacy (nearest 1.37 km)",65%,1.37,Priceline Pharmacy Casey,Casey Superstore,supermarket,ACT,2026-02-14T16:49:26.812397,VERIFIED,No pharmacies found in OSM within search radius,500,500,500,Unknown,0,-1,260.0,11,32,53,32,21,112.0,"Priceline Pharmacy Casey (1.4km, chain); Priceline Pharmacy Casey (1.7km, chain); Mediadvice Pharmacy Ngunnawal (1.7km, ind)",6.1
