Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned
-37.75823465,144.9636347,,Item 133,"Supermarket 'Woolworths Metro' (3,000 sqm) with no adjacent pharmacy (nearest 439 m) | Supermarket 'Terra Madre' (1,500 sqm) with no adjacent pharmacy (nearest 520 m)",75%,0.44,Baraz Wellness Pharmacy,Woolworths Metro,supermarket,VIC,2026-02-14T12:23:28.038044
-38.184994,144.4540089,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 120 m)",75%,0.12,Direct Chemist Outlet Leopold,ALDI,supermarket,VIC,2026-02-14T12:23:28.039044
-37.8339918,144.6513592,,"Item 133, Item 134","Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 1.31 km) | Shopping centre 'Riverdale Village Town Centre' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,1.31,Adam's Chemist,Coles,supermarket,VIC,2026-02-14T12:23:28.040044
-37.8494995,145.1341116,,"Item 133, Item 134","Supermarket 'Hu Hui Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 337 m) | Shopping centre 'Burwood Brickworks Shopping Centre' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.33,Quality Pharmacy 777 Burwood East,Burwood Brickworks Shopping Centre,shopping_centre,VIC,2026-02-14T12:23:28.041044
-37.869951150000006,144.7319191,,"Item 133, Item 134","Supermarket 'Grocer eez' (1,500 sqm) with no adjacent pharmacy (nearest 1.04 km) | Shopping centre 'Hoppers Crossing Homemakers Centre' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.95,Direct Chemist Outlet Williams Landing,Hoppers Crossing Homemakers Centre,shopping_centre,VIC,2026-02-14T12:23:28.042598
-37.5365138,144.9212675,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 135 m)",75%,0.14,Chemist Warehouse Merrifield City SC Mickleham,Coles,supermarket,VIC,2026-02-14T12:23:28.043121
-38.1519413,145.1673256,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 204 m)",75%,0.20,Priceline Pharmacy Karingal Hub,Aldi,supermarket,VIC,2026-02-14T12:23:28.044105
-38.0941752,145.3331832,,Item 133,"Supermarket 'Aldi Clyde North' (1,300 sqm) with no adjacent pharmacy (nearest 1.68 km) | Supermarket 'Sri Kumaran Stores' (1,500 sqm) with no adjacent pharmacy (nearest 1.64 km)",75%,1.68,Chemist Warehouse,Aldi Clyde North,supermarket,VIC,2026-02-14T12:23:28.045105
-37.7140271,144.6022542,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 132 m)",75%,0.13,Direct Chemist Outlet Cobblebank,Coles,supermarket,VIC,2026-02-14T12:23:28.046105
-37.79828895,144.98392465,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 239 m) | Supermarket 'Woolworths Metro Smith Street' (3,000 sqm) with no adjacent pharmacy (nearest 138 m)",75%,0.24,Chemist Warehouse,ALDI,supermarket,VIC,2026-02-14T12:23:28.047105
-34.2108266,142.1396072,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 215 m)",75%,0.22,Direct Chemist Outlet Mildura,Coles,supermarket,VIC,2026-02-14T12:23:28.049105
-37.828042733333334,145.2462677,,"Item 133, Item 134","Supermarket 'IGA' (1,200 sqm) with no adjacent pharmacy (nearest 985 m) | Shopping centre 'Glam Theory Studios' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'The Head Shed' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,1.11,Priceline Pharmacy Heathmont,Glam Theory Studios,shopping_centre,VIC,2026-02-14T12:23:28.050105
-37.743910979999995,144.79829724,,"Item 133, Item 134","Supermarket 'St Albans Supermarket & Halal Meat' (1,500 sqm) with no adjacent pharmacy (nearest 239 m) | Supermarket 'IGA' (1,200 sqm) with no adjacent pharmacy (nearest 112 m) | Supermarket 'Parachinar Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 220 m) | Supermarket 'MA-B1 African Market' (1,500 sqm) with no adjacent pharmacy (nearest 303 m) | Shopping centre 'Nam Anh Pharmacy' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.22,McCrossin & Phan Pharmacy,Nam Anh Pharmacy,shopping_centre,VIC,2026-02-14T12:23:28.051105
-37.9738785,145.0163098,,Item 133,"Supermarket 'Woolworths Metro' (3,000 sqm) with no adjacent pharmacy (nearest 124 m)",75%,0.12,Pharmacy 360 Black Rock,Woolworths Metro,supermarket,VIC,2026-02-14T12:23:28.052105
-37.8429656,145.2666282,,Item 133,"Supermarket 'Bayswater Fresh' (1,500 sqm) with no adjacent pharmacy (nearest 134 m) | Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 119 m)",75%,0.12,Direct Chemist Outlet Bayswater,Aldi,supermarket,VIC,2026-02-14T12:23:28.053105
-37.877982700000004,145.09241305,,"Item 133, Item 134","Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 144 m) | Shopping centre 'Chadstone Lifestyle Precinct' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.14,Chemist Warehouse,Coles,supermarket,VIC,2026-02-14T12:23:28.054105
-38.3471445,141.6021559,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 181 m)",75%,0.18,Portland Amcal Pharmacy,ALDI,supermarket,VIC,2026-02-14T12:23:28.055105
-37.756339675,145.0689881,,"Item 133, Item 134","Supermarket 'Heidelberg Pickles And Pappads' (1,500 sqm) with no adjacent pharmacy (nearest 181 m) | Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 298 m) | Shopping centre 'Warringal Shopping Centre' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Toyota' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.30,Heidelberg Healthcare Pharmacy & Compounding,Coles,supermarket,VIC,2026-02-14T12:23:28.056105
-38.3685746,142.4950598,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 111 m)",75%,0.11,Direct Chemist Outlet Northpoint,Coles,supermarket,VIC,2026-02-14T12:23:28.057105
-37.8323252,144.9708404,,Item 133,"Supermarket 'Woolworths Metro' (3,000 sqm) with no adjacent pharmacy (nearest 585 m)",75%,0.59,Melbourne Boulevard Pharmacy & Health Foods,Woolworths Metro,supermarket,VIC,2026-02-14T12:23:28.058691
-38.06646615,145.3884001,,"Item 133, Item 134","Supermarket 'Oz Indian Groceries' (1,500 sqm) with no adjacent pharmacy (nearest 1.31 km) | Shopping centre 'IGA Local Grocer Officer' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,1.29,TerryWhite Chemmart Officer,IGA Local Grocer Officer,shopping_centre,VIC,2026-02-14T12:23:28.059687
-38.45075198,145.23810587999998,,"Item 133, Item 134","Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 210 m) | Shopping centre 'Dead4eva Tattooing' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Sargeants Conveyancing' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'The Island Food Store' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Island Whole Foods' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.21,Priceline Pharmacy Cowes,ALDI,supermarket,VIC,2026-02-14T12:23:28.060687
-38.0345455,145.2842811,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 109 m)",75%,0.11,Chemist Warehouse,ALDI,supermarket,VIC,2026-02-14T12:23:28.061686
-37.889438,145.2936982,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 356 m)",75%,0.36,Chemist Warehouse,Woolworths,supermarket,VIC,2026-02-14T12:23:28.062686
-38.1092936,145.1265883,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 752 m)",75%,0.75,PharmaSave,Woolworths,supermarket,VIC,2026-02-14T12:23:28.063685
-38.1102556,145.1610991,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 430 m)",75%,0.43,Direct Chemist Outlet Belvedere Park,ALDI,supermarket,VIC,2026-02-14T12:23:28.065254
-38.308946649999996,145.1900536,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 120 m) | Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 227 m)",75%,0.12,TerryWhite Chemmart Hastings,Woolworths,supermarket,VIC,2026-02-14T12:23:28.066253
-37.8311018,144.9307435,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 1.13 km)",75%,1.13,Beacon Cove Pharmacy,Woolworths,supermarket,VIC,2026-02-14T12:23:28.068253
-37.9840734,145.0643704,,"Item 133, Item 134","Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 203 m) | Shopping centre 'Coles' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.20,Chemist Warehouse,Coles,supermarket,VIC,2026-02-14T12:23:28.069253
-38.6038483,145.58933833333333,,"Item 133, Item 134","Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 154 m) | Shopping centre 'Big W' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Bass Coast Plaza' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.15,Wonthaggi Pharmacy and Health Hub,Woolworths,supermarket,VIC,2026-02-14T12:23:28.070253
-37.88770395,144.60724545,,"Item 133, Item 134","Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 2.77 km) | Shopping centre 'Wyndham Vale Square Shopping Centre' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,2.77,Direct Chemist Outlet Harpley,ALDI,supermarket,VIC,2026-02-14T12:23:28.071253
-36.7669138,144.2651965,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 555 m)",75%,0.56,Golden Square's Pharmacy,Woolworths,supermarket,VIC,2026-02-14T12:23:28.072253
-36.7609267,144.2828647,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 116 m) | Supermarket 'Asian Foods Emporium Grocery' (1,500 sqm) with no adjacent pharmacy (nearest 139 m)",75%,0.12,Chemist Discount Centre Bendigo,Coles,supermarket,VIC,2026-02-14T12:23:28.073820
-38.306299,145.1914173,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 134 m)",75%,0.13,Hastings Discount Drug Store,Coles,supermarket,VIC,2026-02-14T12:23:28.074847
