lat,lon,suburb,postcode,state,rule_item,confidence,nearest_pharmacy_km,reason,name,address,source_type,population,osrm_verified
-26.595274,120.221779,,,WA,Item 131,0.6,240.695,"Nearest pharmacy MEEKATHARRA PHARMACY is 171.9km geodesic (~240.7km by road), pop=240",SA1 51104129005,,census_sa1,240,False
-24.082784,132.269674,,,NT,Item 131,0.6,236.799,"Nearest pharmacy Northside Pharmacy NT is 169.1km geodesic (~236.8km by road), pop=236",SA1 70201105314,,census_sa1,236,False
-18.703374,142.175582,,,QLD,Item 131,0.6,227.547,"Nearest pharmacy Normanton Hospital - Pharmacy Service is 162.5km geodesic (~227.5km by road), pop=266",SA1 31501139704,,census_sa1,266,False
-34.358725,123.548725,,,WA,Item 131,0.6,226.865,"Nearest pharmacy CASTLETOWN CHEMIST is 162.0km geodesic (~226.9km by road), pop=247",SA1 51101127501,,census_sa1,247,False
-12.793312,143.34638,,,QLD,Item 131,0.6,226.731,"Nearest pharmacy LiveLife Pharmacy Weipa is 162.0km geodesic (~226.7km by road), pop=606",SA1 31501139626,,census_sa1,606,False
-9.751444,143.410521,,,QLD,Item 131,0.6,223.713,"Nearest pharmacy Thursday Island Pharmacy is 159.8km geodesic (~223.7km by road), pop=283",SA1 31501140216,,census_sa1,283,False
-17.903549,139.415767,,,QLD,Item 131,0.6,220.764,"Nearest pharmacy Karumba Pharmacy is 157.7km geodesic (~220.8km by road), pop=253",SA1 31502140409,,census_sa1,253,False
-14.356662,129.897575,,,NT,Item 131,0.6,217.551,"Nearest pharmacy Timber Creek Health Centre is 155.4km geodesic (~217.6km by road), pop=364",SA1 70203105804,,census_sa1,364,False
-21.009422,134.330195,,,NT,Item 131,0.6,212.684,"Nearest pharmacy United Chemist - Tennant Creek is 151.9km geodesic (~212.7km by road), pop=394",SA1 70202105504,,census_sa1,394,False
-12.102214,132.375611,,,NT,Item 131,0.6,207.36,"Nearest pharmacy Amcal Pharmacy - Humpty Doo is 148.1km geodesic (~207.4km by road), pop=215",SA1 70203105717,,census_sa1,215,False
-20.706843,119.978911,,,WA,Item 131,0.6,206.429,"Nearest pharmacy SOUTH HEDLAND PHARMACY is 147.4km geodesic (~206.4km by road), pop=1663",SA1 51002126705,,census_sa1,1663,False
-19.554558,127.668166,,,WA,Item 131,0.6,206.019,"Nearest pharmacy Halls Creek Pharmacy is 147.2km geodesic (~206.0km by road), pop=202",SA1 51001126403,,census_sa1,202,False
-17.030034,128.224383,,,WA,Item 131,0.6,202.765,"Nearest pharmacy Halls Creek Pharmacy is 144.8km geodesic (~202.8km by road), pop=457",SA1 51001126410,,census_sa1,457,False
-14.992711,133.485674,,,NT,Item 131,0.6,201.22,"Nearest pharmacy Pharmasave Katherine Pharmacy is 143.7km geodesic (~201.2km by road), pop=265",SA1 70205106508,,census_sa1,265,False
-9.399423,142.694997,,,QLD,Item 131,0.6,197.419,"Nearest pharmacy Thursday Island Pharmacy is 141.0km geodesic (~197.4km by road), pop=340",SA1 31501140210,,census_sa1,340,False
-22.910366,139.909539,,,QLD,Item 131,0.6,196.988,"Nearest pharmacy Dajarra - Pharmacy is 140.7km geodesic (~197.0km by road), pop=218",SA1 31503141003,,census_sa1,218,False
-23.143548,113.770631,,,WA,Item 131,0.6,194.75,"Nearest pharmacy Exmouth Pharmacy is 139.1km geodesic (~194.8km by road), pop=245",SA1 51102127712,,census_sa1,245,False
-31.932775,132.232865,,,SA,Item 131,0.6,192.637,"Nearest pharmacy Caversham 7 Day Pharmacy is 137.6km geodesic (~192.6km by road), pop=384",SA1 40601113409,,census_sa1,384,False
-23.554133,132.564273,,,NT,Item 131,0.6,188.135,"Nearest pharmacy Northside Pharmacy NT is 134.4km geodesic (~188.1km by road), pop=235",SA1 70201105312,,census_sa1,235,False
-22.999659,134.928408,,,NT,Item 131,0.6,184.736,"Nearest pharmacy Northside Pharmacy NT is 132.0km geodesic (~184.7km by road), pop=204",SA1 70201105207,,census_sa1,204,False
-29.160759,117.320187,,,WA,Item 131,0.6,178.705,"Nearest pharmacy MORAWA PHARMACY is 127.6km geodesic (~178.7km by road), pop=340",SA1 51104129006,,census_sa1,340,False
-12.026904,135.56334,,,NT,Item 131,0.6,176.333,"Nearest pharmacy Gunyangara Health Centre is 126.0km geodesic (~176.3km by road), pop=2199",SA1 70204106307,,census_sa1,2199,False
-27.912316,120.698906,,,WA,Item 131,0.6,173.755,"Nearest pharmacy LEONORA PHARMACY is 124.1km geodesic (~173.8km by road), pop=203",SA1 51103128324,,census_sa1,203,False
-14.956012,133.295613,,,NT,Item 131,0.6,172.854,"Nearest pharmacy Pharmasave Katherine Pharmacy is 123.5km geodesic (~172.9km by road), pop=263",SA1 70205106507,,census_sa1,263,False
-13.74646,130.693701,,,NT,Item 131,0.6,168.832,"Nearest pharmacy Berry Springs Pharmacy is 120.6km geodesic (~168.8km by road), pop=350",SA1 70203105801,,census_sa1,350,False
-22.258328,149.929349,,,QLD,Item 131,0.6,165.08,"Nearest pharmacy Sarina Hospital and Primary Health Care Centre - Pharmacy is 117.9km geodesic (~165.1km by road), pop=395",SA1 30803121903,,census_sa1,395,False
-22.407112,149.757654,,,QLD,Item 131,0.6,164.641,"Nearest pharmacy Middlemount Pharmacy is 117.6km geodesic (~164.6km by road), pop=412",SA1 31201133821,,census_sa1,412,False
-16.518187,122.905378,,,WA,Item 131,0.6,164.42,"Nearest pharmacy Kimberly Pharmacy Services - Derby is 117.4km geodesic (~164.4km by road), pop=253",SA1 51001126607,,census_sa1,253,False
-11.399308,130.41858,,,NT,Item 131,0.6,164.18,"Nearest pharmacy Territory Pharmacy Northpharm is 117.3km geodesic (~164.2km by road), pop=317",SA1 70203106004,,census_sa1,317,False
-14.722919,128.635137,,,WA,Item 131,0.6,163.847,"Nearest pharmacy Kununurra Pharmacy is 117.0km geodesic (~163.8km by road), pop=241",SA1 51001126512,,census_sa1,241,False
-24.495435,144.209966,,,QLD,Item 131,0.6,163.369,"Nearest pharmacy Speirs Pharmacy is 116.7km geodesic (~163.4km by road), pop=218",SA1 31503141209,,census_sa1,218,False
-31.124941,144.493545,,,NSW,Item 131,0.6,162.939,"Nearest pharmacy Wilcannia St Mary Pharmacy is 116.4km geodesic (~162.9km by road), pop=443",SA1 10501109317,,census_sa1,443,False
-13.156982,130.039111,,,NT,Item 131,0.6,162.288,"Nearest pharmacy Chemist Warehouse Darwin Mitchell St is 115.9km geodesic (~162.3km by road), pop=683",SA1 70203105708,,census_sa1,683,False
-23.935861,132.781569,,,NT,Item 131,0.6,160.515,"Nearest pharmacy Northside Pharmacy NT is 114.7km geodesic (~160.5km by road), pop=551",SA1 70201105313,,census_sa1,551,False
-16.443568,123.058732,,,WA,Item 131,0.6,159.733,"Nearest pharmacy Kimberly Pharmacy Services - Derby is 114.1km geodesic (~159.7km by road), pop=325",SA1 51001126606,,census_sa1,325,False
-19.676229,145.259352,,,QLD,Item 131,0.6,159.012,"Nearest pharmacy 32 Gill Street is 113.6km geodesic (~159.0km by road), pop=215",SA1 31801146309,,census_sa1,215,False
-18.813492,121.646258,,,WA,Item 131,0.6,157.518,"Nearest pharmacy Kimberley Pharmacy Services (Broome) is 112.5km geodesic (~157.5km by road), pop=308",SA1 51001126602,,census_sa1,308,False
-17.983675,126.602921,,,WA,Item 131,0.6,157.157,"Nearest pharmacy Kimberley Pharmacy Services (Fitzroy Valley) is 112.3km geodesic (~157.2km by road), pop=421",SA1 51001126406,,census_sa1,421,False
-21.647335,116.33292,,,WA,Item 131,0.6,155.763,"Nearest pharmacy Pharmacy 777 Tambrey is 111.3km geodesic (~155.8km by road), pop=685",SA1 51003127122,,census_sa1,685,False
-17.017071,122.650219,,,WA,Item 131,0.6,154.25,"Nearest pharmacy Kimberly Pharmacy Services - Derby is 110.2km geodesic (~154.2km by road), pop=307",SA1 51001126604,,census_sa1,307,False
-19.847943,141.137425,,,QLD,Item 131,0.6,153.639,"Nearest pharmacy Julia Creek Pharmacy Excellence is 109.7km geodesic (~153.6km by road), pop=249",SA1 31502140713,,census_sa1,249,False
-20.162399,144.961873,,,QLD,Item 131,0.6,153.127,"Nearest pharmacy Hughenden Pharmacy is 109.4km geodesic (~153.1km by road), pop=206",SA1 31801146304,,census_sa1,206,False
-28.622403,122.408865,,,WA,Item 131,0.6,152.878,"Nearest pharmacy LEONORA PHARMACY is 109.2km geodesic (~152.9km by road), pop=407",SA1 51103128305,,census_sa1,407,False
-23.356487,120.778618,,,WA,Item 131,0.6,149.736,"Nearest pharmacy Boulevard Pharmacy is 107.0km geodesic (~149.7km by road), pop=289",SA1 51002126707,,census_sa1,289,False
-11.42158,130.673892,,,NT,Item 131,0.6,148.174,"Nearest pharmacy Territory Pharmacy Northpharm is 105.8km geodesic (~148.2km by road), pop=414",SA1 70203106005,,census_sa1,414,False
-29.822463,137.762779,,,SA,Item 131,0.6,146.859,"Nearest pharmacy Leigh Creek Health Services is 104.9km geodesic (~146.9km by road), pop=419",SA1 40602114107,,census_sa1,419,False
