Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned
-20.776496,117.1435435,,Item 131,Near 'Roebourne Hospital' (hospital); route distance 13.16 km from nearest pharmacy (verified via OSRM),85%,13.16,Clinicare Pharmacy Wickham,Roebourne Hospital,hospital,WA,2026-02-14T16:53:20.839517
-31.8926,115.7949,,Item 132,"Major shopping centre 'Westfield Innaloo' (GLA 63,000 sqm) with no pharmacy within 200 m",85%,0.40,Morris Compounding Pharmacy,Westfield Innaloo,shopping_centre,WA,2026-02-14T16:53:20.840517
-32.06906346666667,115.94994713333334,,"Item 130, Item 133, Item 134","Supermarket 'Coles' (3000 sqm) is 1.53 km from nearest pharmacy | Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 1.53 km) | Shopping centre 'Forest Lakes Shopping Centre' (GLA 5,000 sqm) with supermarket but no pharmacy",80%,1.53,Pharmacy 777 Canning Vale,Coles,supermarket,WA,2026-02-14T16:53:20.841517
-31.8492593,115.9678256,,"Item 130, Item 133","Supermarket 'Woolworths' (3000 sqm) is 2.05 km from nearest pharmacy | Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 2.05 km)",80%,2.05,Caversham 7 Day Pharmacy,Woolworths,supermarket,WA,2026-02-14T16:53:20.843074
-32.072,115.838,,Item 135,Hospital 'Fiona Stanley Hospital' (783 beds) with no adjacent pharmacy (nearest 676 m),80%,0.68,Slade Pharmacy Murdoch,Fiona Stanley Hospital,hospital,WA,2026-02-14T16:53:20.844071
-31.945,115.799,,Item 135,Hospital 'Sir Charles Gairdner Hospital' (600 beds) with no adjacent pharmacy (nearest 480 m),80%,0.48,Emslie's Floreat Pharmacy,Sir Charles Gairdner Hospital,hospital,WA,2026-02-14T16:53:20.845071
-31.7458,115.7603,,Item 135,Hospital 'Joondalup Health Campus' (489 beds) with no adjacent pharmacy (nearest 341 m),80%,0.34,Chemist Warehouse,Joondalup Health Campus,hospital,WA,2026-02-14T16:53:20.846071
-33.3326,115.6378,,Item 135,Hospital 'Bunbury Hospital' (156 beds) with no adjacent pharmacy (nearest 601 m),80%,0.60,TerryWhite Chemmart Bunbury Plaza,Bunbury Hospital,hospital,WA,2026-02-14T16:53:20.847071
-32.3164,115.7762,,Item 135,Hospital 'Rockingham General Hospital' (200 beds) with no adjacent pharmacy (nearest 2.15 km),80%,2.15,TerryWhite Chemmart Waikiki,Rockingham General Hospital,hospital,WA,2026-02-14T16:53:20.848071
-32.07178513333333,115.8940852,,"Item 130, Item 133","Supermarket 'Market City Gourmet Foods' (1500 sqm) + GP 'Olympic Medical Centre' (1.0 FTE) within 500 m; 1.99 km from nearest pharmacy | Supermarket 'Market City Gourmet Foods' (1,500 sqm) with no adjacent pharmacy (nearest 1.99 km) | Supermarket 'Janani Trading' (1,500 sqm) with no adjacent pharmacy (nearest 1.95 km)",75%,1.99,Priceline Willetton,Market City Gourmet Foods,supermarket,WA,2026-02-14T16:53:20.849071
