Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes,Pop 5km,Pop 10km,Pop 15km,Nearest Town,Nearest Town Pop,Nearest Town Dist (km),Opportunity Score,Pharmacy Count 5km,Pharmacy Count 10km,Pharmacy Count 15km,Chain Count,Independent Count,Competition Score,Nearest Competitors,Composite Score
-31.995862,115.5405252,,"Item 131, Item 133","Near 'Rottnest General Store' (supermarket); straight-line 20.33 km, est. route 26.43 km from nearest pharmacy | Supermarket 'Rottnest General Store' (1,500 sqm) with no adjacent pharmacy (nearest 20.33 km)",70%,20.33,Leighton Beach Drive-In Pharmacy,Rottnest General Store,supermarket,WA,2026-02-14T16:53:20.918378,VERIFIED,No pharmacies found in OSM within search radius,1500,1500,1500,Unknown,0,-1,1575.0,0,0,0,0,0,0.0,,30495.0
-30.9600365,121.1644984,,Item 131,"Near 'Coolgardie Health Centre' (hospital); straight-line 36.78 km, est. route 47.82 km from nearest pharmacy",70%,36.78,Boulder Pharmacy,Coolgardie Health Centre,hospital,WA,2026-02-14T16:53:20.938496,VERIFIED,No pharmacies found in OSM within search radius,763,763,763,Coolgardie,763,1.01,801.1,0,0,0,0,0,0.0,,28063.1
-30.9544584,121.169181,,"Item 131, Item 133","Near 'Morans General store' (supermarket); straight-line 36.08 km, est. route 46.90 km from nearest pharmacy | Supermarket 'Morans General store' (1,200 sqm) with no adjacent pharmacy (nearest 36.08 km)",70%,36.08,Boulder Pharmacy,Morans General store,supermarket,WA,2026-02-14T16:53:20.912411,VERIFIED,No pharmacies found in OSM within search radius,763,763,763,Coolgardie,763,0.77,801.1,0,0,0,0,0,0.0,,27529.0
-28.539757,115.5119191,,"Item 131, Item 133","Near 'unkown (minimarket)' (supermarket); straight-line 85.43 km, est. route 111.06 km from nearest pharmacy | Supermarket 'unkown (minimarket)' (1,500 sqm) with no adjacent pharmacy (nearest 85.43 km)",70%,85.43,Optimal Pharmacy Plus Sunset Beach,unkown (minimarket),supermarket,WA,2026-02-14T16:53:20.917378,VERIFIED,No pharmacies found in OSM within search radius,312,312,312,Mullewa,312,0.23,327.6,0,0,0,0,0,0.0,,26654.2
-28.5359855,115.5098174,,Item 131,"Near 'Mullewa Health Service' (hospital); straight-line 85.33 km, est. route 110.93 km from nearest pharmacy",70%,85.33,Optimal Pharmacy Plus Sunset Beach,Mullewa Health Service,hospital,WA,2026-02-14T16:53:20.941496,VERIFIED,No pharmacies found in OSM within search radius,312,312,312,Mullewa,312,0.54,327.6,0,0,0,0,0,0.0,,26623.0
-27.9945748,122.8960118,"Cosmo Newberry Clinic, Tjurnmu Road, Cosmo Newbery, Shire Of Laverton, Western Australia, Australia","Item 131, Item 134A","Near 'Cosmo Newberry Clinic' (gp); straight-line 182.16 km, est. route 236.81 km from nearest pharmacy | Very remote -- 'Cosmo Newberry Clinic' (gp) is 182.16 km from nearest pharmacy (threshold 90 km)",90%,182.16,Leonora Pharmacy,Cosmo Newberry Clinic,gp,WA,2026-02-14T16:53:20.826647,VERIFIED,No pharmacies found in OSM within search radius,143,143,143,Unknown,0,-1,193.1,0,0,0,0,0,0.0,,26048.9
-31.6763999,128.8887025,"Eucla Health Centre, Patupis Street, Eucla, Shire Of Dundas, Western Australia, Australia","Item 131, Item 134A","Near 'Eucla Health Centre' (gp); straight-line 454.28 km, est. route 590.56 km from nearest pharmacy | Very remote -- 'Eucla Health Centre' (gp) is 454.28 km from nearest pharmacy (threshold 90 km)",90%,454.28,Far West Pharmacy Ceduna,Eucla Health Centre,gp,WA,2026-02-14T16:53:20.828523,VERIFIED,No pharmacies found in OSM within search radius,53,53,53,Unknown,0,-1,71.5,0,0,0,0,0,0.0,,24076.8
-32.44924386666667,118.86372456666668,,"Item 131, Item 133, Item 134","Near 'Hyden IGA' (supermarket); straight-line 61.41 km, est. route 79.84 km from nearest pharmacy | Supermarket 'Hyden IGA' (1,200 sqm) with no adjacent pharmacy (nearest 61.41 km) | Shopping centre 'The Bush Bakehouse' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,61.33,Narembeen Pharmacy,The Bush Bakehouse,shopping_centre,WA,2026-02-14T16:53:20.857071,VERIFIED,No pharmacies found in OSM within search radius,377,377,377,Hyden,377,0.06,424.1,0,0,0,0,0,0.0,,23121.4
-19.555798120000002,127.66067143999999,"Luda Road, Sturt Creek, Billiluna, Shire of Halls Creek, Western Australia, Australia","Item 131, Item 133, Item 134A","Near 'Billiluna Store' (supermarket); straight-line 147.97 km, est. route 192.37 km from nearest pharmacy | Near 'Billiluna Clinic' (hospital); straight-line 148.12 km, est. route 192.55 km from nearest pharmacy | Supermarket 'Billiluna Store' (1,500 sqm) with no adjacent pharmacy (nearest 147.97 km) | Very remote -- 'Billiluna Store' (supermarket) is 147.97 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Billiluna Clinic' (hospital) is 148.12 km from nearest pharmacy (threshold 90 km)",90%,147.97,Halls Creek Pharmacy,Billiluna Store,supermarket,WA,2026-02-14T16:53:20.819648,VERIFIED,No pharmacies found in OSM within search radius,150,150,150,Unknown,0,-1,202.5,0,0,0,0,0,0.0,,22195.5
-18.7941306,128.6150832,"Yura Yungi Medical Clinic, Yaruman Road, Kundat Djaru, Shire of Halls Creek, Western Australia, Australia","Item 131, Item 134A","Near 'Yura Yungi Medical Clinic' (gp); straight-line 118.15 km, est. route 153.59 km from nearest pharmacy | Very remote -- 'Yura Yungi Medical Clinic' (gp) is 118.15 km from nearest pharmacy (threshold 90 km)",90%,118.15,Halls Creek Pharmacy,Yura Yungi Medical Clinic,gp,WA,2026-02-14T16:53:20.831517,VERIFIED,No pharmacies found in OSM within search radius,165,165,165,Unknown,0,-1,222.8,0,0,0,0,0,0.0,,19494.8
