latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,pharmacy_count_10km,market_share,est_annual_scripts,gp_fte,is_remote,growth_indicator,growth_details,est_annual_revenue,est_annual_costs,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_revenue,worst_profit,worst_roi,worst_npv,best_revenue,best_profit,best_roi,best_npv
-32.6689164,118.155206,,IGA Local Grocer,supermarket,WA,"Item 131, Item 133",70%,45.82,Corrigin Pharmacy & Health Food Centre,294,294,0,0,0.8,3057,0.0,True,,,77616.0,378331.2,-300715.2,657500,-0.4574,999.0,-2649831.73,54331.2,-362005.42,-0.5506,-3055898.47,100900.8,-254266.7,-0.3867,-2342096.0
-29.1903298,115.4417385,,Mingenew IGA,supermarket,WA,"Item 131, Item 133",70%,49.28,Sal's Pharmacy,249,249,0,0,0.8,2589,0.0,True,,,65736.0,370015.2,-304279.2,657500,-0.4628,999.0,-2673444.34,46015.2,-363627.04,-0.553,-3066642.21,85456.8,-259980.98,-0.3954,-2379954.88
-25.794013,113.7191705,,Supermarket,supermarket,WA,Item 131,70%,23.67,Shark Bay Pharmacy,500,500,0,0,0.8,5200,0.0,True,,,132000.0,416400.0,-284400.0,657500,-0.4325,999.0,-2541738.45,92400.0,-354582.0,-0.5393,-3006716.03,171600.0,-228108.0,-0.3469,-2168786.45
-30.4506327,117.8633641,,Beacon General Store Co-Op,supermarket,WA,Item 131,70%,73.54,Unknown Pharmacy,160,160,0,0,0.8,1664,0.0,True,,,42240.0,353568.0,-311328.0,657500,-0.4735,999.0,-2720144.83,29568.0,-366834.24,-0.5579,-3087890.93,54912.0,-271282.56,-0.4126,-2454831.33
-32.0000778,115.9847958,,Aldi,supermarket,WA,Item 133,70%,2.33,Priceline Carousel,1071946,50000,13,81,0.2,130000,0.0,False,,,3300000.0,2729000.0,571000.0,657500,0.8684,1.15,3125552.59,2310000.0,-31400.0,-0.0478,-865534.77,4290000.0,1210200.0,1.8406,7360451.4
-30.5039781,115.066037,,Cervantes Health Centre,hospital,WA,Item 131,70%,22.46,Jurien Pharmacy,480,480,0,0,0.8,4992,0.0,True,,,126720.0,412704.0,-285984.0,657500,-0.435,999.0,-2552232.95,88704.0,-355302.72,-0.5404,-3011491.03,164736.0,-230647.68,-0.3508,-2185612.62
-32.368673,117.0107759,,IGA Local Grocer - Nourish Brookton,supermarket,WA,"Item 131, Item 133",70%,19.69,Pingelly Pharmacy,532,532,0,0,0.8,5532,0.0,True,,,140448.0,422313.6,-281865.6,657500,-0.4287,999.0,-2524947.27,98313.6,-353428.85,-0.5375,-2999076.04,182582.4,-224044.51,-0.3408,-2141864.57
-30.9165437,118.2072057,,Mukinbudin Healthcare Centre,gp,WA,Item 131,70%,34.59,Unknown Pharmacy,284,284,0,0,0.8,2953,0.0,True,,,74976.0,376483.2,-301507.2,657500,-0.4586,999.0,-2655078.97,52483.2,-362365.78,-0.5511,-3058285.97,97468.8,-255536.54,-0.3886,-2350509.08
-32.4890447,118.2655506,,Kondinin Hospital & Aged Care,hospital,WA,Item 131,70%,40.60,Corrigin Pharmacy & Health Food Centre,226,226,0,0,0.8,2350,0.0,True,,,59664.0,365764.8,-306100.8,657500,-0.4656,999.0,-2685513.0,41764.8,-364455.86,-0.5543,-3072133.45,77563.2,-262901.62,-0.3999,-2399304.97
-33.3144361,117.7421943,,Foodworks Dumbleyung General Store,supermarket,WA,"Item 131, Item 133",70%,37.04,Wagin Pharmacy,238,238,0,0,0.8,2475,0.0,True,,,62832.0,367982.4,-305150.4,657500,-0.4641,999.0,-2679216.31,43982.4,-364023.43,-0.5536,-3069268.46,81681.6,-261377.81,-0.3975,-2389209.27
-33.3101989,117.740287,,Dumbleyung Health Service,hospital,WA,Item 131,70%,36.86,Wagin Pharmacy,238,238,0,0,0.8,2475,0.0,True,,,62832.0,367982.4,-305150.4,657500,-0.4641,999.0,-2679216.31,43982.4,-364023.43,-0.5536,-3069268.46,81681.6,-261377.81,-0.3975,-2389209.27
-33.09412438,119.02465134000002,,Newdegate Groicer and Cafe,supermarket,WA,"Item 130, Item 131, Item 133",75%,52.43,Lake Grace Community Pharmacy,167,167,0,0,0.8,1736,0.0,True,,,44088.0,354861.6,-310773.6,657500,-0.4727,999.0,-2716471.76,30861.6,-366581.99,-0.5575,-3086219.68,57314.4,-270393.67,-0.4112,-2448942.17
-30.824989025,117.48283825,,Koorda IGA,supermarket,WA,"Item 130, Item 131, Item 133",75%,40.70,Happy Pill Pharmacy,213,213,0,0,0.8,2215,0.0,True,,,56232.0,363362.4,-307130.4,657500,-0.4671,999.0,-2692334.42,39362.4,-364924.33,-0.555,-3075237.2,73101.6,-264552.41,-0.4024,-2410241.98
-30.3645672,117.1181985,,IGA Express Local Grocer,supermarket,WA,Item 131,70%,44.84,TerryWhite Chemmart Dalwallinu,187,187,0,0,0.8,1944,0.0,True,,,49368.0,358557.6,-309189.6,657500,-0.4703,999.0,-2705977.26,34557.6,-365861.27,-0.5564,-3081444.69,64178.4,-267853.99,-0.4074,-2432116.0
-29.8816847,116.0229592,,Family Shopping Centre,supermarket,WA,Item 131,70%,46.12,Sal's Pharmacy,176,176,0,0,0.8,1830,0.0,True,,,46464.0,356524.8,-310060.8,657500,-0.4716,999.0,-2711749.23,32524.8,-366257.66,-0.557,-3084070.94,60403.2,-269250.82,-0.4095,-2441370.4
-31.1948727,117.0311121,,Tin Dog Grocer,supermarket,WA,Item 131,70%,22.51,Goomalling Pharmacy,357,357,0,0,0.8,3712,0.0,True,,,94248.0,389973.6,-295725.6,657500,-0.4498,999.0,-2616774.08,65973.6,-359735.15,-0.5471,-3040857.24,122522.4,-246266.71,-0.3746,-2289093.56
-33.3368816,116.7427284,,Fleay's Store,supermarket,WA,Item 131,70%,36.67,Williams Pharmacy,194,194,0,0,0.8,2017,0.0,True,,,51216.0,359851.2,-308635.2,657500,-0.4694,999.0,-2702304.19,35851.2,-365609.02,-0.5561,-3079773.44,66580.8,-266965.1,-0.406,-2426226.85
-34.6351705,116.1229411,,Northcliffe Nursing Post,gp,WA,Item 131,70%,22.61,Pemberton Pharmacy,300,300,0,0,0.8,3120,0.0,True,,,79200.0,379440.0,-300240.0,657500,-0.4566,999.0,-2646683.38,55440.0,-361789.2,-0.5502,-3054465.97,102960.0,-253504.8,-0.3856,-2337048.14
-29.6881724,115.8861433,,Carnamah Medical & Allied Health Centre,gp,WA,Item 131,70%,20.88,Sal's Pharmacy,314,314,0,0,0.8,3265,0.0,True,,,82896.0,382027.2,-299131.2,657500,-0.455,999.0,-2639337.24,58027.2,-361284.7,-0.5495,-3051123.48,107764.8,-251727.02,-0.3829,-2325269.83
-32.7141732,116.0622492,,IGA,supermarket,WA,"Item 131, Item 133",70%,19.59,Amcal Waroona Pharmacy,332,332,0,0,0.8,3452,0.0,True,,,87648.0,385353.6,-297705.6,657500,-0.4528,999.0,-2629892.19,61353.6,-360636.05,-0.5485,-3046825.98,113942.4,-249441.31,-0.3794,-2310126.27
-29.439461,116.2861936,,Perenjori Medical Centre,gp,WA,Item 131,70%,36.90,Morawa Pharmacy,176,176,0,0,0.8,1830,0.0,True,,,46464.0,356524.8,-310060.8,657500,-0.4716,999.0,-2711749.23,32524.8,-366257.66,-0.557,-3084070.94,60403.2,-269250.82,-0.4095,-2441370.4
-20.7743055,117.1464062,,Roebourne Supermarket,supermarket,WA,Item 131,85%,12.79,Clinicare Pharmacy Wickham,864,864,0,0,0.8,8985,0.0,True,,,228096.0,483667.2,-255571.2,657500,-0.3887,999.0,-2350738.69,159667.2,-341464.9,-0.5193,-2919811.14,296524.8,-181885.82,-0.2766,-1862550.15
