Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-14.275415,135.7413994,,"Item 131, Item 134A","Near 'Numbulwar Health Centre' (gp); straight-line 258.62 km, est. route 336.20 km from nearest pharmacy | Very remote -- 'Numbulwar Health Centre' (gp) is 258.62 km from nearest pharmacy (threshold 90 km)",90%,258.62,Gove Pharmacy,Numbulwar Health Centre,gp,NT,2026-02-14T16:50:31.350152,VERIFIED,No pharmacies found in OSM within search radius
-22.7892884,136.1684534,,"Item 131, Item 134A","Near 'Orrtipa-Thurra Health Centre' (gp); straight-line 254.29 km, est. route 330.58 km from nearest pharmacy | Very remote -- 'Orrtipa-Thurra Health Centre' (gp) is 254.29 km from nearest pharmacy (threshold 90 km)",90%,254.29,Priceline Pharmacy Alice Springs,Orrtipa-Thurra Health Centre,gp,NT,2026-02-14T16:50:31.297152,VERIFIED,No pharmacies found in OSM within search radius
-14.7097833,134.5641539,,"Item 131, Item 134A","Near 'Urapunga Health Centre' (gp); straight-line 248.83 km, est. route 323.48 km from nearest pharmacy | Very remote -- 'Urapunga Health Centre' (gp) is 248.83 km from nearest pharmacy (threshold 90 km)",90%,248.83,Pharmasave Katherine Pharmacy,Urapunga Health Centre,gp,NT,2026-02-14T16:50:31.332152,VERIFIED,No pharmacies found in OSM within search radius
-21.6592971,135.22454,,"Item 131, Item 134A","Near 'Ampilatwatja Health Centre' (gp); straight-line 248.60 km, est. route 323.18 km from nearest pharmacy | Very remote -- 'Ampilatwatja Health Centre' (gp) is 248.60 km from nearest pharmacy (threshold 90 km)",90%,248.6,United Chemists Tennant Creek,Ampilatwatja Health Centre,gp,NT,2026-02-14T16:50:31.312152,VERIFIED,No pharmacies found in OSM within search radius
-24.243356,131.510436,,"Item 131, Item 134A","Near 'Medical Practice' (gp); straight-line 247.95 km, est. route 322.34 km from nearest pharmacy | Very remote -- 'Medical Practice' (gp) is 247.95 km from nearest pharmacy (threshold 90 km)",90%,247.95,United Chemists Northside Pharmacy NT,Medical Practice,gp,NT,2026-02-14T16:50:31.299152,VERIFIED,No pharmacies found in OSM within search radius
-21.2474267,132.609431,,"Item 131, Item 134A","Near 'Willowra Health Centre' (gp); straight-line 242.83 km, est. route 315.68 km from nearest pharmacy | Very remote -- 'Willowra Health Centre' (gp) is 242.83 km from nearest pharmacy (threshold 90 km)",90%,242.83,United Chemists Tennant Creek,Willowra Health Centre,gp,NT,2026-02-14T16:50:31.314152,VERIFIED,No pharmacies found in OSM within search radius
-17.5540475,133.5409913,,"Item 131, Item 134A","Near 'Elliott Health Centre' (gp); straight-line 242.23 km, est. route 314.90 km from nearest pharmacy | Very remote -- 'Elliott Health Centre' (gp) is 242.23 km from nearest pharmacy (threshold 90 km)",90%,242.23,United Chemists Tennant Creek,Elliott Health Centre,gp,NT,2026-02-14T16:50:31.307152,VERIFIED,No pharmacies found in OSM within search radius
-16.44788812222222,130.88371635555555,"Yarralin, Victoria Daly Region, Northern Territory, Australia","Item 130, Item 131, Item 133, Item 134A","Supermarket 'Yaralin Store' (1500 sqm) + GP 'Yaralin Health Centre' (1.0 FTE) within 500 m; 240.87 km from nearest pharmacy | GP 'Yarralin Health Centre' (1.0 FTE) + Supermarket 'Yaralin Store' (1500 sqm) within 500 m; 240.94 km from nearest pharmacy | Near 'Yaralin Store' (supermarket); straight-line 240.87 km, est. route 313.14 km from nearest pharmacy | Near 'Yarralin Health Centre' (gp); straight-line 240.94 km, est. route 313.22 km from nearest pharmacy | Near 'Yaralin Health Centre' (gp); straight-line 240.94 km, est. route 313.22 km from nearest pharmacy | Supermarket 'Yaralin Store' (1,500 sqm) with no adjacent pharmacy (nearest 240.87 km) | Very remote -- 'Yaralin Store' (supermarket) is 240.87 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Yarralin Health Centre' (gp) is 240.94 km from nearest pharmacy (threshold 90 km) | Very remote -- 'Yaralin Health Centre' (gp) is 240.94 km from nearest pharmacy (threshold 90 km)",90%,240.87,Kununurra Pharmacy,Yaralin Store,supermarket,NT,2026-02-14T16:50:31.269152,VERIFIED,No pharmacies found in OSM within search radius
-13.6650614,134.3324654,,"Item 131, Item 134A","Near 'Bulman Health Centre' (gp); straight-line 240.06 km, est. route 312.08 km from nearest pharmacy | Very remote -- 'Bulman Health Centre' (gp) is 240.06 km from nearest pharmacy (threshold 90 km)",90%,240.06,Pharmasave Katherine Pharmacy,Bulman Health Centre,gp,NT,2026-02-14T16:50:31.315152,VERIFIED,No pharmacies found in OSM within search radius
-22.2568853,132.2077877,,"Item 131, Item 134A","Near 'Yuelamu Health Centre' (gp); straight-line 233.01 km, est. route 302.91 km from nearest pharmacy | Very remote -- 'Yuelamu Health Centre' (gp) is 233.01 km from nearest pharmacy (threshold 90 km)",90%,233.01,United Chemists Northside Pharmacy NT,Yuelamu Health Centre,gp,NT,2026-02-14T16:50:31.343153,VERIFIED,No pharmacies found in OSM within search radius
