Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-35.3405364,149.0831547,,Item 133,"Supermarket 'Sun Gift House' (1,500 sqm) with no adjacent pharmacy (nearest 550 m)",65%,0.55,Chemist Warehouse,Sun Gift House,supermarket,ACT,2026-02-14T16:49:26.805397,VERIFIED,All 4 nearby OSM pharmacies already in DB: Chemist Warehouse (1m); Priceline pharmacy (1m); Capital Chemist (1m)
-35.2767939,149.1254502,"Daily Market, 35, Childers Street, City, Canberra, District of Canberra Central, Australian Capital Territory, 2601, Australia",Item 133,"Supermarket 'Daily Market' (1,500 sqm) with no adjacent pharmacy (nearest 345 m)",65%,0.35,Chemist on Nourthbourne,Daily Market,supermarket,ACT,2026-02-14T16:49:26.786397,VERIFIED,All 6 nearby OSM pharmacies already in DB: Chemist on Nourthbourne (0m); University Pharmacy (0m); Develin’s City Chemist (1m)
-35.24191488,149.05936444,,Item 133,"Supermarket 'Asian Supa Grocery' (1,500 sqm) with no adjacent pharmacy (nearest 333 m) | Supermarket 'Bharat International' (1,500 sqm) with no adjacent pharmacy (nearest 270 m) | Supermarket 'Bangla Bazaar. Belconnen Halal Market' (1,500 sqm) with no adjacent pharmacy (nearest 217 m) | Supermarket 'Apna Indian Bazaar' (1,500 sqm) with no adjacent pharmacy (nearest 303 m) | Supermarket 'Namaste Canberra Grocery' (1,500 sqm) with no adjacent pharmacy (nearest 331 m)",65%,0.33,Chemist Discount Centre Belconnen,Asian Supa Grocery,supermarket,ACT,2026-02-14T16:49:26.798397,VERIFIED,All 11 nearby OSM pharmacies already in DB: Open Mobility (0m); Amcal (1m); Amcal (1m)
-35.1833652,149.1364271,,Item 133,"Supermarket 'Discount Grocery Gunghalin' (1,500 sqm) with no adjacent pharmacy (nearest 286 m)",65%,0.29,Priceline Pharmacy,Discount Grocery Gunghalin,supermarket,ACT,2026-02-14T16:49:26.802397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Priceline Pharmacy (0m)
-35.3522363,149.0868751,"Spice World, Colbee Court, Phillip Business District, Phillip, District of Woden Valley, Australian Capital Territory, 2606, Australia",Item 133,"Supermarket 'Spice World' (1,500 sqm) with no adjacent pharmacy (nearest 258 m)",65%,0.26,Colbee Court Chemist,Spice World,supermarket,ACT,2026-02-14T16:49:26.781397,VERIFIED,All 5 nearby OSM pharmacies already in DB: Colbee Court Pharmacy (0m); Priceline pharmacy (1m); Chemist Warehouse (1m)
-35.2417553,149.0631979,,Item 133,"Supermarket 'Oriental Groceries' (1,500 sqm) with no adjacent pharmacy (nearest 223 m)",65%,0.22,Open Mobility,Oriental Groceries,supermarket,ACT,2026-02-14T16:49:26.800397,VERIFIED,All 11 nearby OSM pharmacies already in DB: Open Mobility (0m); Amcal (0m); Amcal (0m)
-35.2390154,149.0609205,,Item 133,"Supermarket 'Great Ceylonese Asia Grocery Store' (1,500 sqm) with no adjacent pharmacy (nearest 170 m)",65%,0.17,Open Mobility,Great Ceylonese Asia Grocery Store,supermarket,ACT,2026-02-14T16:49:26.799397,VERIFIED,All 10 nearby OSM pharmacies already in DB: Open Mobility (0m); Amcal (0m); Amcal (0m)
-35.2013084,149.1496063,,Item 133,"Supermarket 'Hualong Grocery' (1,500 sqm) with no adjacent pharmacy (nearest 148 m)",65%,0.15,Discount Drug Store Franklin,Hualong Grocery,supermarket,ACT,2026-02-14T16:49:26.801397,VERIFIED,All 1 nearby OSM pharmacies already in DB: Discount Drug Store (0m)
-35.3165265,149.1428659,,Item 133,"Supermarket 'Supabarn' (1,500 sqm) with no adjacent pharmacy (nearest 151 m)",65%,0.15,Capital Chemist Kingston,Supabarn,supermarket,ACT,2026-02-14T16:49:26.803398,VERIFIED,All 2 nearby OSM pharmacies already in DB: Capital Chemist (0m); iChemist (1m)
-35.25056373333333,149.1369452,,Item 133,"Supermarket 'Swan Asian Grocery' (1,500 sqm) with no adjacent pharmacy (nearest 113 m) | Supermarket 'Deji Asian Supermarket' (1,500 sqm) with no adjacent pharmacy (nearest 218 m) | Supermarket 'Abuy Asian Grocery' (1,500 sqm) with no adjacent pharmacy (nearest 177 m)",65%,0.11,Capital Chemist Dickson,Swan Asian Grocery,supermarket,ACT,2026-02-14T16:49:26.793397,VERIFIED,All 4 nearby OSM pharmacies already in DB: Capital Chemist (0m); Cincotta Discount Chemist (0m); Capital Chemist Lyneham (1m)
