opportunity_id,state,opportunity_lat,opportunity_lng,rule,confidence,poi_name,nearest_pharmacy_km,composite_score,property_address,rent_display,rent_pa,rent_sqm,floor_area_sqm,property_type,listing_url,agent,suitability_score,suitability_note
QLD_102,QLD,-27.4673741,153.1544016,Item 133,65%,IGA Wondall Road,0.82,5084.1,"Wondall Road Shopping Village, 190  Radford Road,Manly West, QLD 4179",Contact Agent,0,0,148,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-wondall-road-shopping-village-190-radford-road-manly-west-qld-4179-502870170,,100,"Retail/Medical, 148m² ideal"
VIC_069,VIC,-37.8572274,145.1237031,Item 133,65%,Andrew Street Grocer,1.01,4858.6,"Ground Flo/63 Glen Huntly Road,Elwood, VIC 3184",Contact Agent,0,0,137,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-ground-flo-63-glen-huntly-road-elwood-vic-3184-505021012,,100,"Retail/Medical, 137m² ideal"
VIC_069,VIC,-37.8572274,145.1237031,Item 133,65%,Andrew Street Grocer,1.01,4858.6,"L1, S2/23-27 Wellington Street,St Kilda, VIC 3182",Contact Agent,0,0,395,Medical & Consulting | Offices | Other,https://www.realcommercial.com.au/for-lease/property-l1-s2-23-27-wellington-street-st-kilda-vic-3182-504907476,,100,"Retail/Medical, 395m² ideal"
VIC_069,VIC,-37.8572274,145.1237031,Item 133,65%,Andrew Street Grocer,1.01,4858.6,"Shop 1/129 Martin Street,Brighton, VIC 3186",Contact Agent,0,0,190,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-shop-1-129-martin-street-brighton-vic-3186-505059344,,100,"Retail/Medical, 190m² ideal"
NSW_091,NSW,-33.781539,151.1125923,Item 134,55%,The Ranch,0.81,4769.2,"305/7 Help Street,Chatswood, NSW 2067","$43,000 p.a. Gross + GST",43000.0,364.41,118,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-305-7-help-street-chatswood-nsw-2067-505012772,,100,"Retail/Medical, 118m² ideal"
NSW_091,NSW,-33.781539,151.1125923,Item 134,55%,The Ranch,0.81,4769.2,"GF Shop/457 Victoria Avenue,Chatswood, NSW 2067",Contact Agent,0,0,102,Shops & Retail | Medical & Consulting | Showrooms,https://www.realcommercial.com.au/for-lease/property-gf-shop-457-victoria-avenue-chatswood-nsw-2067-505012196,,100,"Retail/Medical, 102m² ideal"
NSW_091,NSW,-33.781539,151.1125923,Item 134,55%,The Ranch,0.81,4769.2,"10 Help Street,Chatswood, NSW 2067",$600/sqm Gross + GST,600.0,2.64,227,Medical & Consulting | Offices | Showrooms,https://www.realcommercial.com.au/for-lease/property-10-help-street-chatswood-nsw-2067-504677448,,100,"Retail/Medical, 227m² ideal"
NSW_091,NSW,-33.781539,151.1125923,Item 134,55%,The Ranch,0.81,4769.2,"17 Help Street,Chatswood, NSW 2067",Contact Agent,0,0,250,Medical & Consulting | Offices | Other,https://www.realcommercial.com.au/for-lease/property-17-help-street-chatswood-nsw-2067-504417356,,100,"Retail/Medical, 250m² ideal"
NSW_091,NSW,-33.781539,151.1125923,Item 134,55%,The Ranch,0.81,4769.2,"6 - 8 Help Street,Chatswood, NSW 2067",Contact Agent,0,0,300,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-6-8-help-street-chatswood-nsw-2067-504552612,,100,"Retail/Medical, 300m² ideal"
NSW_091,NSW,-33.781539,151.1125923,Item 134,55%,The Ranch,0.81,4769.2,"Address available on request,Chatswood, NSW 2067",301m2 UNIT + 9 CAR SPACES,0,0,301,Medical & Consulting | Offices | Warehouse | Industrial,https://www.realcommercial.com.au/for-lease/property-chatswood-nsw-2067-505033516,,100,"Retail/Medical, 301m² ideal"
NSW_091,NSW,-33.781539,151.1125923,Item 134,55%,The Ranch,0.81,4769.2,"Lemon Grove Shopping Centre, Shop 18/427-441 Victoria Avenue,Chatswood, NSW 2067",Contact agent,0,0,128,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-lemon-grove-shopping-centre-shop-18-427-441-victoria-avenue-chatswood-nsw-2067-505053280,,100,"Retail/Medical, 128m² ideal"
NSW_091,NSW,-33.781539,151.1125923,Item 134,55%,The Ranch,0.81,4769.2,"Shop 19/3-9 Spring Street,Chatswood, NSW 2067",For Lease - Contact Agent,0,0,113,Shops & Retail,https://www.realcommercial.com.au/for-lease/property-shop-19-3-9-spring-street-chatswood-nsw-2067-505017168,,100,"Retail/Medical, 113m² ideal"
NSW_078,NSW,-33.788129975,151.267138275,"Item 133, Item 134",75%,Woolworths,0.5,4607.5,"Shop 3, 93 North Steyne,Manly, NSW 2095",Contact Agent,0,0,160,Shops & Retail | Offices | Other,https://www.realcommercial.com.au/for-lease/property-shop-3-93-north-steyne-manly-nsw-2095-504990760,,100,"Retail/Medical, 160m² ideal"
NSW_078,NSW,-33.788129975,151.267138275,"Item 133, Item 134",75%,Woolworths,0.5,4607.5,"36-38 Sydney Road, Manly, NSW 2095",Contact Agent,0,0,151,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-36-38-sydney-road-manly-nsw-2095-505034384,,100,"Retail/Medical, 151m² ideal"
NSW_078,NSW,-33.788129975,151.267138275,"Item 133, Item 134",75%,Woolworths,0.5,4607.5,"4/12-16 Sydney Road, Manly, NSW 2095",Contact Agent,0,0,100,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-4-12-16-sydney-road-manly-nsw-2095-505010976,,100,"Retail/Medical, 100m² ideal"
