Rank,Deal Score,Item,State,Pharmacy Name,Pharmacy Address,Target Centre,Distance (m),Centre Tenants,Centre GLA (sqm),Existing Pharmacies in Centre,Key Reason,Why Opportunity
128,0.6,Item 124,TAS,Blooms the Chemist Glenorchy,"Shop 14 Centro Glenorchy, GLENORCHY, TAS, 7010",Thirsty Camel Glenorchy,783.0,20,5000.0,1,Pharmacy 'Blooms the Chemist Glenorchy' is 783m from large shopping centre 'Thirsty Camel Glenorchy',pharmacy 783m from centre
129,0.6,Item 124,TAS,Priceline Pharmacy Kingston,"Shop 30 Channel Court Shopping Centre, 29 Channel Highway, KINGSTON, TAS, 7050",Kingston Town Shopping Centre,688.0,20,5000.0,1,Pharmacy 'Priceline Pharmacy Kingston' is 688m from large shopping centre 'Kingston Town Shopping Centre',pharmacy 688m from centre
130,0.6,Item 124,TAS,Invermay Discount Drug Store,,Anaconda,651.0,20,5000.0,1,Pharmacy 'Invermay Discount Drug Store' is 651m from large shopping centre 'Anaconda',pharmacy 651m from centre
131,0.6,Item 124,TAS,Chemist Warehouse,,Glenorchy Central,615.0,40,10000.0,1,Pharmacy 'Chemist Warehouse' is 615m from large shopping centre 'Glenorchy Central',pharmacy 615m from centre
132,0.6,Item 124,TAS,Chemist Warehouse,,Club Hotel,794.0,20,5000.0,1,Pharmacy 'Chemist Warehouse' is 794m from large shopping centre 'Club Hotel',pharmacy 794m from centre
133,0.6,Item 124,TAS,Amcal,"502, Main Road, Montrose, TAS, 7010",Thirsty Camel Glenorchy,569.0,20,5000.0,1,Pharmacy 'Amcal' is 569m from large shopping centre 'Thirsty Camel Glenorchy',pharmacy 569m from centre
134,0.6,Item 124,TAS,Amcal,"502, Main Road, Montrose, TAS, 7010",Club Hotel,619.0,20,5000.0,1,Pharmacy 'Amcal' is 619m from large shopping centre 'Club Hotel',pharmacy 619m from centre
135,0.6,Item 124,TAS,Priceline Pharmacy,TAS,Anaconda,502.0,20,5000.0,1,Pharmacy 'Priceline Pharmacy' is 502m from large shopping centre 'Anaconda',pharmacy 502m from centre
136,0.6,Item 124,TAS,Priceline Pharmacy,TAS,Gateway Shopping Centre (Launceston),670.0,28,7000.0,1,Pharmacy 'Priceline Pharmacy' is 670m from large shopping centre 'Gateway Shopping Centre (Launceston)',pharmacy 670m from centre
137,0.6,Item 124,TAS,Priceline Pharmacy,TAS,Reddy Express,745.0,20,5000.0,1,Pharmacy 'Priceline Pharmacy' is 745m from large shopping centre 'Reddy Express',pharmacy 745m from centre
