Rank,Deal Score,Item,State,Pharmacy Name,Pharmacy Address,Target Centre,Distance (m),Centre Tenants,Centre GLA (sqm),Existing Pharmacies in Centre,Key Reason,Why Opportunity
291,0.3,Item 122,TAS,Chemist Warehouse Glenorchy,"371 Main Road, GLENORCHY, TAS, 7010",Big W,120.0,20,,?,Pharmacy 'Chemist Warehouse Glenorchy' is inside 'Big W' (20 tenants),pharmacy 120m from centre
292,0.3,Item 122,TAS,Priceline Pharmacy Glenorchy,"346 Main Road, GLENORCHY, TAS, 7010",Big W,74.0,20,,?,Pharmacy 'Priceline Pharmacy Glenorchy' is inside 'Big W' (20 tenants),pharmacy 74m from centre
293,0.3,Item 122,TAS,Friendly Care Advantage Moonah,"67 Hopkins Street, MOONAH, TAS, 7009",Moonah Central,163.0,20,,?,Pharmacy 'Friendly Care Advantage Moonah' is inside 'Moonah Central' (20 tenants),pharmacy 163m from centre
294,0.3,Item 122,TAS,Chemist Warehouse Moonah,"68-74 Main Road, MOONAH, TAS, 7009",Moonah Central,153.0,20,,?,Pharmacy 'Chemist Warehouse Moonah' is inside 'Moonah Central' (20 tenants),pharmacy 153m from centre
295,0.3,Item 122,TAS,Upper Burnie Pharmacy,"205 Mount Street, UPPER BURNIE, TAS, 7320",Upper Burnie Illusions2,29.0,20,,?,Pharmacy 'Upper Burnie Pharmacy' is inside 'Upper Burnie Illusions2' (20 tenants),pharmacy 29m from centre
296,0.3,Item 122,TAS,Pharmacy One,"Shop 5, 11 Wiseman Street, BURNIE, TAS, 7320",Shorewell Plaza,18.0,20,,?,Pharmacy 'Pharmacy One' is inside 'Shorewell Plaza' (20 tenants),pharmacy 18m from centre
297,0.3,Item 122,TAS,Chemist Warehouse New Town,"Shop 10 New Town Plaza 1 Risdon Road, NEW TOWN, TAS, 7008",New Town Plaza,25.0,20,,?,Pharmacy 'Chemist Warehouse New Town' is inside 'New Town Plaza' (20 tenants),pharmacy 25m from centre
298,0.3,Item 122,TAS,Burnie Plaza Pharmacy,"Shop 6 24 Mount Street, BURNIE, TAS, 7320",Burnie Plaza,3.0,20,,?,Pharmacy 'Burnie Plaza Pharmacy' is inside 'Burnie Plaza' (20 tenants),pharmacy 3m from centre
299,0.3,Item 122,TAS,North Hobart Pharmacy,"360 Elizabeth Street, NORTH HOBART, TAS, 7000",Cat & Fiddle Arcade,250.0,32,,?,Pharmacy 'North Hobart Pharmacy' is inside 'Cat & Fiddle Arcade' (32 tenants),pharmacy 250m from centre
300,0.3,Item 122,TAS,Chemist Warehouse North Hobart,"Shop 5, 346-352 Elizabeth Street, North Hobart, TAS, 7000",Cat & Fiddle Arcade,294.0,32,,?,Pharmacy 'Chemist Warehouse North Hobart' is inside 'Cat & Fiddle Arcade' (32 tenants),pharmacy 294m from centre
301,0.3,Item 122,TAS,TerryWhite Chemmart Burnie,"56 Bass Highway, COOEE, TAS, 7320",Auto One,89.0,20,,?,Pharmacy 'TerryWhite Chemmart Burnie' is inside 'Auto One' (20 tenants),pharmacy 89m from centre
302,0.3,Item 122,TAS,Chemist Warehouse Eastlands Shopping Centre,"Shop G017, Eastlands Shopping Centre, 26 Bligh Street, ROSNY PARK, TAS, 7018",Eastlands Shopping Centre,53.0,94,,?,Pharmacy 'Chemist Warehouse Eastlands Shopping Centre' is inside 'Eastlands Shopping Centre' (94 tenants),pharmacy 53m from centre
303,0.3,Item 122,TAS,Complete Care Pharmacy Rosny Park,"8 Bayfield Street, Tenancy A, Ground Floor 8, ROSNY PARK, TAS, 7018",Eastlands Shopping Centre,183.0,94,,?,Pharmacy 'Complete Care Pharmacy Rosny Park' is inside 'Eastlands Shopping Centre' (94 tenants),pharmacy 183m from centre
304,0.3,Item 122,TAS,Chemist Warehouse Sandy Bay,"Tenancy 2, 201-205 Sandy Bay Road, SANDY BAY, TAS, 7005",Woolworths,97.0,20,,?,Pharmacy 'Chemist Warehouse Sandy Bay' is inside 'Woolworths' (20 tenants),pharmacy 97m from centre
305,0.3,Item 122,TAS,Bellerive Quay Pharmacy,"46 Cambridge Road, BELLERIVE, TAS, 7018",Bellerive Quay,67.0,24,,?,Pharmacy 'Bellerive Quay Pharmacy' is inside 'Bellerive Quay' (24 tenants),pharmacy 67m from centre
306,0.3,Item 122,TAS,Good Price Pharmacy Warehouse Cambridge,"Shop A3, Harvey Norman Centre, 66 Kennedy Drive, CAMBRIDGE, TAS, 7170",Cambridge Park,46.0,20,,?,Pharmacy 'Good Price Pharmacy Warehouse Cambridge' is inside 'Cambridge Park' (20 tenants),pharmacy 46m from centre
307,0.3,Item 122,TAS,Shoreline Amcal Pharmacy,"Shop 20 Shoreline Shopping Centre, 6 Shoreline Drive, HOWRAH, TAS, 7018",Shoreline Shopping Centre,0.0,48,,?,Pharmacy 'Shoreline Amcal Pharmacy' is inside 'Shoreline Shopping Centre' (48 tenants),
308,0.3,Item 122,TAS,Blooms The Chemist Huonville,"59 Main Street, HUONVILLE, TAS, 7109",Coffee House Cafe,275.0,20,,?,Pharmacy 'Blooms The Chemist Huonville' is inside 'Coffee House Cafe' (20 tenants),pharmacy 275m from centre
309,0.3,Item 122,TAS,Chemist Warehouse Sorell,"2 Gordon Street, SORELL, TAS, 7172",Gateway Shopping Centre,132.0,20,,?,Pharmacy 'Chemist Warehouse Sorell' is inside 'Gateway Shopping Centre' (20 tenants),pharmacy 132m from centre
310,0.3,Item 122,TAS,Blooms The Chemist Huonville Arcade,"Shop 6 Huon Arcade 13 Main Street, HUONVILLE, TAS, 7109",Coffee House Cafe,41.0,20,,?,Pharmacy 'Blooms The Chemist Huonville Arcade' is inside 'Coffee House Cafe' (20 tenants),pharmacy 41m from centre
311,0.3,Item 122,TAS,TerryWhite Chemmart Sorell,"31 Gordon Street, SORELL, TAS, 7172",Sorell Village,59.0,20,,?,Pharmacy 'TerryWhite Chemmart Sorell' is inside 'Sorell Village' (20 tenants),pharmacy 59m from centre
312,0.3,Item 122,TAS,Kingborough Pharmacy,"11 John Street, KINGSTON, TAS, 7050",Kingston Plaza,146.0,20,,?,Pharmacy 'Kingborough Pharmacy' is inside 'Kingston Plaza' (20 tenants),pharmacy 146m from centre
313,0.3,Item 122,TAS,TerryWhite Chemmart Kingston Plaza,"Shop 8 - 9 Kingston Plaza, 20 Channel Highway, KINGSTON, TAS, 7050",Kingston Plaza,56.0,20,,?,Pharmacy 'TerryWhite Chemmart Kingston Plaza' is inside 'Kingston Plaza' (20 tenants),pharmacy 56m from centre
314,0.3,Item 122,TAS,Good Price Pharmacy Warehouse Kingston,"Shop 3 Kingston Gateway, 14 Channel Highway, KINGSTON, TAS, 7050",Kingston Plaza,144.0,20,,?,Pharmacy 'Good Price Pharmacy Warehouse Kingston' is inside 'Kingston Plaza' (20 tenants),pharmacy 144m from centre
315,0.3,Item 122,TAS,Priceline Pharmacy Kingston,"Shop 30 Channel Court Shopping Centre, 29 Channel Highway, KINGSTON, TAS, 7050",Channel Court Shopping Centre,13.0,80,,?,Pharmacy 'Priceline Pharmacy Kingston' is inside 'Channel Court Shopping Centre' (80 tenants),pharmacy 13m from centre
316,0.3,Item 122,TAS,TerryWhite Chemmart Kingston Town,"Shop 10-15b Kingston Town Shopping Centre, 37-59 Maranoa Road, KINGSTON, TAS, 7050",Kingston Town Shopping Centre,3.0,20,,?,Pharmacy 'TerryWhite Chemmart Kingston Town' is inside 'Kingston Town Shopping Centre' (20 tenants),pharmacy 3m from centre
317,0.3,Item 122,TAS,Dover Pharmacy,"Shop 2 Southgate Shopping Centre, 2 Station Road, DOVER, TAS, 7117",Southgate Shopping Centre,3.0,20,,?,Pharmacy 'Dover Pharmacy' is inside 'Southgate Shopping Centre' (20 tenants),pharmacy 3m from centre
318,0.3,Item 122,TAS,Blooms the Chemist St Helen's,"36 Cecilia Street, ST HELENS, TAS, 7216",St Helens Central,189.0,20,,?,Pharmacy 'Blooms the Chemist St Helen's' is inside 'St Helens Central' (20 tenants),pharmacy 189m from centre
319,0.3,Item 122,TAS,Evandale Pharmacy,"8A High Street, EVANDALE, TAS, 7212",Lake Leather,221.0,20,,?,Pharmacy 'Evandale Pharmacy' is inside 'Lake Leather' (20 tenants),pharmacy 221m from centre
320,0.3,Item 122,TAS,Chemist Warehouse Moonah,"38 to 74 Main Road, Moonah, TAS, 7009",Moonah Central,179.0,20,,?,Pharmacy 'Chemist Warehouse Moonah' is inside 'Moonah Central' (20 tenants),pharmacy 179m from centre
321,0.3,Item 122,TAS,Chemist Warehouse Mowbray,"Shop 8 25 Vermont Road, Mowbray, TAS, 7248",Mowbray Marketplace,38.0,20,,?,Pharmacy 'Chemist Warehouse Mowbray' is inside 'Mowbray Marketplace' (20 tenants),pharmacy 38m from centre
322,0.3,Item 122,TAS,TerryWhite Chemmart Kingston Plaza,"Shops 8 and 9, Kingston Plaza Shopping Centre, 20 Channel Highway, Kingston, TAS, 7050",Kingston Plaza,88.0,20,,?,Pharmacy 'TerryWhite Chemmart Kingston Plaza' is inside 'Kingston Plaza' (20 tenants),pharmacy 88m from centre
323,0.3,Item 122,TAS,Chemist Warehouse,,Big W,81.0,20,,?,Pharmacy 'Chemist Warehouse' is inside 'Big W' (20 tenants),pharmacy 81m from centre
324,0.3,Item 122,TAS,Amcal+ Pharmacy Howrah - Shoreline,"6 Shoreline Drive, Shoreline Shopping Centre, Howrah TAS 7018",Shoreline Shopping Centre,228.0,48,,?,Pharmacy 'Amcal+ Pharmacy Howrah - Shoreline' is inside 'Shoreline Shopping Centre' (48 tenants),pharmacy 228m from centre
325,0.3,Item 122,TAS,Chemists' Own Trevallyn Pharmacy,TAS,Bella Plaza,9.0,20,,?,Pharmacy 'Chemists' Own Trevallyn Pharmacy' is inside 'Bella Plaza' (20 tenants),pharmacy 9m from centre
326,0.3,Item 122,TAS,TerryWhite Chemmart,TAS,The Reject Shop,44.0,20,,?,Pharmacy 'TerryWhite Chemmart' is inside 'The Reject Shop' (20 tenants),pharmacy 44m from centre
327,0.3,Item 122,TAS,Dixon's Pharmacy,TAS,Subway,116.0,20,,?,Pharmacy 'Dixon's Pharmacy' is inside 'Subway' (20 tenants),pharmacy 116m from centre
328,0.3,Item 122,TAS,Good Price Pharmacy,TAS,Cambridge Park,164.0,20,,?,Pharmacy 'Good Price Pharmacy' is inside 'Cambridge Park' (20 tenants),pharmacy 164m from centre
329,0.3,Item 122,TAS,Priceline Pharmacy,TAS,Centrepoint Shopping Centre,119.0,48,,?,Pharmacy 'Priceline Pharmacy' is inside 'Centrepoint Shopping Centre' (48 tenants),pharmacy 119m from centre
