opportunity_id,state,opportunity_lat,opportunity_lng,rule,confidence,poi_name,nearest_pharmacy_km,composite_score,property_address,rent_display,rent_pa,rent_sqm,floor_area_sqm,property_type,listing_url,agent,suitability_score,suitability_note
TAS_010,TAS,-42.8803,147.3845,Item 134,70%,Shoreline Shopping Centre,0.5,594.7,"193 Murray Street,Hobart, TAS 7000",Contact Agent,0,0,180,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-193-murray-street-hobart-tas-7000-505030356,,100,"Retail/Medical, 180m² ideal"
TAS_008,TAS,-42.831,147.282,Item 134,70%,Glenorchy Central,0.42,559.0,"Part of 12 Warwick Street,Hobart, TAS 7000","$32,000 per annum + GST & Outgoings",32000.0,307.69,104,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-part-of-12-warwick-street-hobart-tas-7000-505057508,,100,"Retail/Medical, 104m² ideal"
TAS_008,TAS,-42.831,147.282,Item 134,70%,Glenorchy Central,0.42,559.0,"Suite 5, 5 Fitzroy Street,Sorell, TAS 7172",Contact Agent,0,0,132,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-suite-5-5-fitzroy-street-sorell-tas-7172-505059996,,100,"Retail/Medical, 132m² ideal"
TAS_008,TAS,-42.831,147.282,Item 134,70%,Glenorchy Central,0.42,559.0,"30 Beach Road,Kingston Beach, TAS 7050",Price on Application,0,0,191,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-30-beach-road-kingston-beach-tas-7050-505017656,,100,"Retail/Medical, 191m² ideal"
TAS_008,TAS,-42.831,147.282,Item 134,70%,Glenorchy Central,0.42,559.0,"193 Murray Street,Hobart, TAS 7000",Contact Agent,0,0,180,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-193-murray-street-hobart-tas-7000-505030356,,100,"Retail/Medical, 180m² ideal"
SA_135,SA,-34.9157539,138.6280969,Item 133,70%,Aldi,0.37,545.3,"A & B, 210 The Parade,Norwood, SA 5067",Contact Agent,0,0,144,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-a-b-210-the-parade-norwood-sa-5067-505012864,,100,"Retail/Medical, 144m² ideal"
SA_135,SA,-34.9157539,138.6280969,Item 133,70%,Aldi,0.37,545.3,"69 Edward Street,Norwood, SA 5067",Contact Agent,0,0,148,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-69-edward-street-norwood-sa-5067-505031740,,100,"Retail/Medical, 148m² ideal"
SA_135,SA,-34.9157539,138.6280969,Item 133,70%,Aldi,0.37,545.3,"74 Fullarton Road,Norwood, SA 5067",Contact Agents,0,0,260,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-74-fullarton-road-norwood-sa-5067-505008952,,100,"Retail/Medical, 260m² ideal"
SA_135,SA,-34.9157539,138.6280969,Item 133,70%,Aldi,0.37,545.3,"46 Fullarton Road,Norwood, SA 5067",Enquire Now,0,0,389,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-46-fullarton-road-norwood-sa-5067-504613460,,100,"Retail/Medical, 389m² ideal"
SA_135,SA,-34.9157539,138.6280969,Item 133,70%,Aldi,0.37,545.3,"67 Edward St,Norwood, SA 5067","$100,000 per annum",100000.0,492.61,203,Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-67-edward-st-norwood-sa-5067-505024588,,100,"Retail/Medical, 203m² ideal"
SA_135,SA,-34.9157539,138.6280969,Item 133,70%,Aldi,0.37,545.3,"2/223 The Parade, Norwood, SA 5067",Contact Agent,0,0,103,Shops & Retail | Medical & Consulting | Offices,https://www.realcommercial.com.au/for-lease/property-2-223-the-parade-norwood-sa-5067-504817440,,100,"Retail/Medical, 103m² ideal"
