Latitude,Longitude,Address,Qualifying Rules,Evidence,Confidence,Nearest Pharmacy (km),Nearest Pharmacy Name,POI Name,POI Type,Region,Date Scanned,Verification,Verification Notes
-32.49255755,137.76387565,,"Item 133, Item 134","Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 287 m) | Shopping centre 'Northern Gateway Shopping Centre' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.29,Good Price Pharmacy Port Augusta,Coles,supermarket,SA,2026-02-14T16:51:50.427820,VERIFIED,All 2 nearby OSM pharmacies already in DB: The Discount Chemist (0m); Crossroads Pharmacy (1m)
-34.7649047,138.6453142,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 293 m)",75%,0.29,John Street Chemist,ALDI,supermarket,SA,2026-02-14T16:51:50.454978,VERIFIED,All 4 nearby OSM pharmacies already in DB: National Pharmacies (0m); Chemist King Discount Pharmacy (0m); Chemist Warehouse (0m)
-33.028245,137.5358238,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 276 m)",75%,0.28,TerryWhite Chemmart,ALDI,supermarket,SA,2026-02-14T16:51:50.428820,VERIFIED,All 1 nearby OSM pharmacies already in DB: TerryWhite Chemmart (0m)
-33.9645997,137.7109124,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 252 m)",75%,0.25,Newbery Chemists - Kadina,Aldi,supermarket,SA,2026-02-14T16:51:50.452978,VERIFIED,All 1 nearby OSM pharmacies already in DB: Priceline Pharmacy (0m)
-34.45098386666667,140.57294396666668,,Item 134,"Shopping centre 'Rotary Lox Care Op Shop' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Car Wash' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Crowe Horwath' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.24,Loxton Pharmacies - East Tce,Rotary Lox Care Op Shop,shopping_centre,SA,2026-02-14T16:51:50.460978,VERIFIED,All 2 nearby OSM pharmacies already in DB: Amcal (0m); Amcal (0m)
-35.349711,138.6218068,,Item 134,"Shopping centre 'BP' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.22,Mt Compass Pharmacy,BP,shopping_centre,SA,2026-02-14T16:51:50.461978,VERIFIED,All 1 nearby OSM pharmacies already in DB: Mt Compass Community Pharmacy (0m)
-35.01871,138.6157937,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 206 m)",75%,0.21,TerryWhite Chemmart Main Road Blackwood,Coles,supermarket,SA,2026-02-14T16:51:50.399172,VERIFIED,All 2 nearby OSM pharmacies already in DB: Blackwood Goodlife Pharmacy (0m); National Pharmacies (0m)
-34.6809307,138.7024569,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 209 m)",75%,0.21,United Chemists Blakes Crossing,ALDI,supermarket,SA,2026-02-14T16:51:50.453978,VERIFIED,All 1 nearby OSM pharmacies already in DB: Priceline Pharmacy (1m)
-34.8742367,138.6029961,,Item 134,"Shopping centre 'Regency Plaza Shopping Centre' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.21,National Pharmacies,Regency Plaza Shopping Centre,shopping_centre,SA,2026-02-14T16:51:50.458978,VERIFIED,All 4 nearby OSM pharmacies already in DB: National Pharmacies (0m); National Pharmacies (0m); Guardian (1m)
-34.44991506666667,140.5696613,,Item 134,"Shopping centre 'Bank SA' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Loxton Physiotherapy Service' (GLA 5,000 sqm) with supermarket but no pharmacy | Shopping centre 'Riverland & Mallee Conveyancers' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.21,Loxton Pharmacies - East Tce,Bank SA,shopping_centre,SA,2026-02-14T16:51:50.459978,VERIFIED,All 2 nearby OSM pharmacies already in DB: Amcal (0m); Amcal (1m)
-34.9739728,138.6088836,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 167 m)",75%,0.17,National Pharmacies,ALDI,supermarket,SA,2026-02-14T16:51:50.443398,VERIFIED,All 1 nearby OSM pharmacies already in DB: National Pharmacies (0m)
-34.6207894,138.7394369,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 150 m)",75%,0.15,Direct Chemist Outlet Gawler,ALDI,supermarket,SA,2026-02-14T16:51:50.449398,VERIFIED,No pharmacies found in OSM within search radius
-34.9476935,138.6425713,,Item 133,"Supermarket 'Aldi' (1,300 sqm) with no adjacent pharmacy (nearest 135 m)",75%,0.14,TerryWhite Chemmart Glenunga,Aldi,supermarket,SA,2026-02-14T16:51:50.455978,VERIFIED,All 5 nearby OSM pharmacies already in DB: TerryWhite Chemmart (1m); Linden Park Pharmacy (1m); National Pharmacies (1m)
-35.1057728,138.520531,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 132 m)",75%,0.13,United Chemists Southgate,ALDI,supermarket,SA,2026-02-14T16:51:50.425820,VERIFIED,All 1 nearby OSM pharmacies already in DB: Good Price Discount Pharmacy (1m)
-34.717154300000004,138.66675329999998,,"Item 133, Item 134","Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 121 m) | Shopping centre 'McDonald's' (GLA 5,000 sqm) with supermarket but no pharmacy",75%,0.12,Priceline Pharmacy Elizabeth,Coles,supermarket,SA,2026-02-14T16:51:50.410758,VERIFIED,No pharmacies found in OSM within search radius
-37.8081941,140.7940022,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 124 m)",75%,0.12,Priceline Pharmacy Marketplace Mount Gambier,Woolworths,supermarket,SA,2026-02-14T16:51:50.414759,VERIFIED,All 2 nearby OSM pharmacies already in DB: Priceline Pharmacy (0m); Village Pharmacy (0m)
-34.8811731,138.4914867,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 120 m)",75%,0.12,Better Health Pharmacy West Lakes,Coles,supermarket,SA,2026-02-14T16:51:50.433820,VERIFIED,No pharmacies found in OSM within search radius
-35.1382065,138.4812467,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 116 m)",75%,0.12,TerryWhite Chemmart Christies Guild,Coles,supermarket,SA,2026-02-14T16:51:50.434889,VERIFIED,All 2 nearby OSM pharmacies already in DB: National Pharmacies (0m); TerryWhite Chemmart O'Sullivan Beach (1m)
-34.7220832,135.859321,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 118 m)",75%,0.12,TerryWhite Chemmart Port Lincoln,Woolworths,supermarket,SA,2026-02-14T16:51:50.436399,VERIFIED,All 1 nearby OSM pharmacies already in DB: TerryWhite Chemmart Port Lincoln (0m)
-34.9793381,138.5155069,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 123 m)",75%,0.12,Glenelg Health foods,Coles,supermarket,SA,2026-02-14T16:51:50.439398,VERIFIED,All 7 nearby OSM pharmacies already in DB: National Pharmacy (0m); Glenelg Health foods (0m); Glenelg 7 day pharmacy (0m)
-34.8751989,138.5496932,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 119 m)",75%,0.12,Pharmasave Arndale Pharmacy,ALDI,supermarket,SA,2026-02-14T16:51:50.445398,VERIFIED,All 3 nearby OSM pharmacies already in DB: Woodville Gardens Pharmacy (0m); Chemist Warehouse (1m); Unknown Pharmacy (1m)
-37.8296253,140.7833946,,Item 133,"Supermarket 'ALDI' (1,300 sqm) with no adjacent pharmacy (nearest 123 m)",75%,0.12,Star Discount Chemist Sturt St,ALDI,supermarket,SA,2026-02-14T16:51:50.448399,VERIFIED,All 4 nearby OSM pharmacies already in DB: Star Discount Chemist Sturt St (0m); Priceline Pharmacy (0m); Gambier City Pharmacy (1m)
-34.9420645,138.6412932,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 111 m)",75%,0.11,The Village Pharmacy,Coles,supermarket,SA,2026-02-14T16:51:50.406759,VERIFIED,All 6 nearby OSM pharmacies already in DB: TerryWhite Chemmart (0m); TerryWhite Chemmart (1m); Linden Park Pharmacy (1m)
-34.6702618,138.6796271,,Item 133,"Supermarket 'Woolworths' (3,000 sqm) with no adjacent pharmacy (nearest 100 m)",75%,0.1,TerryWhite Chemmart Playford,Woolworths,supermarket,SA,2026-02-14T16:51:50.419311,VERIFIED,No pharmacies found in OSM within search radius
-34.8306405,138.6935739,,Item 133,"Supermarket 'Coles' (3,000 sqm) with no adjacent pharmacy (nearest 101 m)",75%,0.1,Priceline Pharmacy,Coles,supermarket,SA,2026-02-14T16:51:50.422820,VERIFIED,All 4 nearby OSM pharmacies already in DB: Priceline Pharmacy (0m); Chemist Warehouse (0m); Chemist Warehouse (1m)
-32.5823507,139.5621351,,Item 131,"Near 'RFDS Clinic Yunta' (gp); straight-line 80.65 km, est. route 104.84 km from nearest pharmacy",70%,80.65,Peterborough Pharmacy,RFDS Clinic Yunta,gp,SA,2026-02-14T16:51:50.470571,VERIFIED,No pharmacies found in OSM within search radius
