name,latitude,longitude,openDate,closeDate,private,active,bpl_uuid,uuid,location_type_id
Heidelberg Healthcare Pharmacy and Compounding,-37.756305999999995,145.066162,644198400000,,0,1,I/oe8n2PEfCuUALpWEZeRw==,I/oe8n2PEfCuUALpWEZeRw==,
Heidelberg West Pharmacy,-37.736446,145.048431,644198400000,,0,1,I/opb32PEfCuUALpWEZeRw==,I/opb32PEfCuUALpWEZeRw==,
Helena Estate Pharmacy and News,-31.915661,116.02892299999999,644198400000,,0,1,I/oz332PEfCuUALpWEZeRw==,I/oz332PEfCuUALpWEZeRw==,
Helena Valley Pharmacy,-31.921533999999998,116.04783599999999,644198400000,,0,1,I/o+Gn2PEfCuUALpWEZeRw==,I/o+Gn2PEfCuUALpWEZeRw==,
Helensburgh Pharmacy,-34.190945,150.981796,644198400000,,0,1,I/pIeH2PEfCuUALpWEZeRw==,I/pIeH2PEfCuUALpWEZeRw==,
Helensvale Plaza Amcal Chempro Chemist,-27.923226999999997,153.334305,644198400000,,0,1,I/pSuH2PEfCuUALpWEZeRw==,I/pSuH2PEfCuUALpWEZeRw==,
Herberton Pharmacy,-17.383974,145.385727,644198400000,,0,1,I/pdPH2PEfCuUALpWEZeRw==,I/pdPH2PEfCuUALpWEZeRw==,
Herne Hill Pharmacy,-38.130478,144.331573,644198400000,,0,1,I/px/X2PEfCuUALpWEZeRw==,I/px/X2PEfCuUALpWEZeRw==,
Hervey Bay Hospital - Pharmacy,-25.298613,152.821091,644198400000,,0,1,I/p8YH2PEfCuUALpWEZeRw==,I/p8YH2PEfCuUALpWEZeRw==,
Hewett Pharmacy,-34.578781,138.747849,644198400000,,0,1,I/qGlH2PEfCuUALpWEZeRw==,I/qGlH2PEfCuUALpWEZeRw==,
Heyfield Pharmacy,-37.980830999999995,146.786194,644198400000,,0,1,I/qQxX2PEfCuUALpWEZeRw==,I/qQxX2PEfCuUALpWEZeRw==,
Hibiscus Coast Pharmacy,-20.902224,148.966537,644198400000,,0,1,I/qbMn2PEfCuUALpWEZeRw==,I/qbMn2PEfCuUALpWEZeRw==,
Hibiscus Day & Night Pharmacy,-12.377765,130.895981,644198400000,,0,1,I/qlcX2PEfCuUALpWEZeRw==,I/qlcX2PEfCuUALpWEZeRw==,
High Street Family Pharmacy,-33.754993,150.704514,644198400000,,0,1,I/qvoX2PEfCuUALpWEZeRw==,I/qvoX2PEfCuUALpWEZeRw==,
High Street Pharmacy,-35.255409,138.892746,644198400000,,0,1,I/q7vX2PEfCuUALpWEZeRw==,I/q7vX2PEfCuUALpWEZeRw==,
High Street Preston Pharmacy,-37.733619999999995,145.00528,644198400000,,0,1,I/rGn32PEfCuUALpWEZeRw==,I/rGn32PEfCuUALpWEZeRw==,
Highgate Pharmacy,-34.960266,138.626297,644198400000,,0,1,I/rRe32PEfCuUALpWEZeRw==,I/rRe32PEfCuUALpWEZeRw==,
Highland Park Chempro Chemist,-28.014146999999998,153.33535799999999,644198400000,,0,1,I/rcKX2PEfCuUALpWEZeRw==,I/rcKX2PEfCuUALpWEZeRw==,
Highlands Pharmacy,-23.518114,148.155655,644198400000,,0,1,I/rml32PEfCuUALpWEZeRw==,I/rml32PEfCuUALpWEZeRw==,
Highpoint Pharmacy,-37.774654,144.88030999999998,644198400000,,0,1,I/rxCn2PEfCuUALpWEZeRw==,I/rxCn2PEfCuUALpWEZeRw==,
Highton Amcal Pharmacy,-38.172489,144.324005,644198400000,,0,1,I/r7in2PEfCuUALpWEZeRw==,I/r7in2PEfCuUALpWEZeRw==,
Highway Pharmacy,-37.934689,145.156509,644198400000,,0,1,I/sGen2PEfCuUALpWEZeRw==,I/sGen2PEfCuUALpWEZeRw==,
Hilditch Pharmacy,-23.356924,119.730667,644198400000,,0,1,I/sRGH2PEfCuUALpWEZeRw==,I/sRGH2PEfCuUALpWEZeRw==,
Hill Top Pharmacy,-34.35498,150.493988,644198400000,,0,1,I/sbkX2PEfCuUALpWEZeRw==,I/sbkX2PEfCuUALpWEZeRw==,
Hillarys Community Pharmacy,-31.809424999999997,115.743759,644198400000,,0,1,I/sl4n2PEfCuUALpWEZeRw==,I/sl4n2PEfCuUALpWEZeRw==,
Hills View Pharmacy Kalamunda,-31.967450999999997,116.060463,644198400000,,0,1,I/swa32PEfCuUALpWEZeRw==,I/swa32PEfCuUALpWEZeRw==,
Hillside Pharmacy,-37.686321,144.738602,644198400000,,0,1,I/s7vH2PEfCuUALpWEZeRw==,I/s7vH2PEfCuUALpWEZeRw==,
Hillston Pharmacy,-33.485531,145.532196,644198400000,,0,1,I/tGUX2PEfCuUALpWEZeRw==,I/tGUX2PEfCuUALpWEZeRw==,
Hinchinbrook Community Pharmacy,-18.57972,146.28514099999998,644198400000,,0,1,I/tRAX2PEfCuUALpWEZeRw==,I/tRAX2PEfCuUALpWEZeRw==,
Hinchinbrook Pharmacy,-33.925689999999996,150.85553,644198400000,,0,1,I/tbZ32PEfCuUALpWEZeRw==,I/tbZ32PEfCuUALpWEZeRw==,
Hinchy's Pharmacy,-27.637217,153.102997,644198400000,,0,1,I/tlvH2PEfCuUALpWEZeRw==,I/tlvH2PEfCuUALpWEZeRw==,
Hindmarsh Pharmacy,-34.902893,138.567383,644198400000,,0,1,I/tw6X2PEfCuUALpWEZeRw==,I/tw6X2PEfCuUALpWEZeRw==,
Hinterland Day And Night Pharmacy,-27.988138,153.336746,644198400000,,0,1,I/t7mX2PEfCuUALpWEZeRw==,I/t7mX2PEfCuUALpWEZeRw==,
Hogans Pharmacy,-33.277012,149.09716799999998,644198400000,,0,1,I/uGFn2PEfCuUALpWEZeRw==,I/uGFn2PEfCuUALpWEZeRw==,
Holbrook Pharmacy,-35.721900999999995,147.315033,644198400000,,0,1,I/uQv32PEfCuUALpWEZeRw==,I/uQv32PEfCuUALpWEZeRw==,
Holden Hill Guardian Pharmacy,-34.844463,138.67198199999999,644198400000,,0,1,I/ubGn2PEfCuUALpWEZeRw==,I/ubGn2PEfCuUALpWEZeRw==,
Holland Park Chempro Chemists,-27.528841,153.07067899999998,644198400000,,0,1,I/umeX2PEfCuUALpWEZeRw==,I/umeX2PEfCuUALpWEZeRw==,
Holland Park West Chempro Chemist,-27.519893999999997,153.062729,644198400000,,0,1,I/uygH2PEfCuUALpWEZeRw==,I/uygH2PEfCuUALpWEZeRw==,
Hollywood Pharmacy,-31.972748,115.81336999999999,644198400000,,0,1,I/u9Ln2PEfCuUALpWEZeRw==,I/u9Ln2PEfCuUALpWEZeRw==,
Holmesglen Private Hospital,-37.935874999999996,145.050491,644198400000,,0,1,I/vIdH2PEfCuUALpWEZeRw==,I/vIdH2PEfCuUALpWEZeRw==,
HOLMVIEW CENTRAL AMCAL PHARMACY,-27.711185,153.161484,644198400000,,0,1,I/vTOX2PEfCuUALpWEZeRw==,I/vTOX2PEfCuUALpWEZeRw==,
Home Care Pharmacy Bassendean,-31.904881,115.950577,644198400000,,0,1,I/vdzH2PEfCuUALpWEZeRw==,I/vdzH2PEfCuUALpWEZeRw==,
Homebush Pharmacy,-33.867264,151.084488,644198400000,,0,1,I/voZH2PEfCuUALpWEZeRw==,I/voZH2PEfCuUALpWEZeRw==,
Homecare Edgewater Pharmacy,-31.772871,115.78867299999999,644198400000,,0,1,I/vzJn2PEfCuUALpWEZeRw==,I/vzJn2PEfCuUALpWEZeRw==,
Honeywood Pharmacy,-32.179909,115.861046,644198400000,,0,1,I/v9hn2PEfCuUALpWEZeRw==,I/v9hn2PEfCuUALpWEZeRw==,
Hooks Pharmacy Cooma,-36.235473999999996,149.125305,644198400000,,0,1,I/wHzn2PEfCuUALpWEZeRw==,I/wHzn2PEfCuUALpWEZeRw==,
Hooper Centre Pharmacy,-27.566091999999998,151.956009,644198400000,,0,1,I/wSXn2PEfCuUALpWEZeRw==,I/wSXn2PEfCuUALpWEZeRw==,
Hope Island 7 Day Amcal Chemist,-27.877602,153.364029,644198400000,,0,1,I/wc732PEfCuUALpWEZeRw==,I/wc732PEfCuUALpWEZeRw==,
Hope Island Chempro Chemist,-27.867855,153.350037,644198400000,,0,1,I/wnPX2PEfCuUALpWEZeRw==,I/wnPX2PEfCuUALpWEZeRw==,
Hope Pharmacy - Great Western,-37.151599999999995,142.85351599999998,644198400000,,0,1,I/wxwX2PEfCuUALpWEZeRw==,I/wxwX2PEfCuUALpWEZeRw==,
HOPES PHARMACY,-33.481536999999996,150.156052,644198400000,,0,1,I/w8Pn2PEfCuUALpWEZeRw==,I/w8Pn2PEfCuUALpWEZeRw==,
Hope's Pharmacy - Vincentia,-35.06987,150.675476,644198400000,,0,1,I/xJQH2PEfCuUALpWEZeRw==,I/xJQH2PEfCuUALpWEZeRw==,
Hopetoun Beachfront Chemist,-33.950179999999996,120.126076,644198400000,,0,1,I/xUlX2PEfCuUALpWEZeRw==,I/xUlX2PEfCuUALpWEZeRw==,
Hoppers Crossing Pharmacy,-37.881901,144.70242299999998,644198400000,,0,1,I/xfQH2PEfCuUALpWEZeRw==,I/xfQH2PEfCuUALpWEZeRw==,
HORNSBY HEIGHTS PHARMACY,-33.676449,151.098343,644198400000,,0,1,I/xpr32PEfCuUALpWEZeRw==,I/xpr32PEfCuUALpWEZeRw==,
Horsham Amcal Pharmacy,-36.715323999999995,142.199478,644198400000,,0,1,I/x0Xn2PEfCuUALpWEZeRw==,I/x0Xn2PEfCuUALpWEZeRw==,
Hospital Hill Pharmacy,-34.425174999999996,150.88584899999998,644198400000,,0,1,I/yJHX2PEfCuUALpWEZeRw==,I/yJHX2PEfCuUALpWEZeRw==,
HOWARD PHARMACY,-25.317852,152.561401,644198400000,,0,1,I/yTbH2PEfCuUALpWEZeRw==,I/yTbH2PEfCuUALpWEZeRw==,
Howard Springs Pharmacy,-12.496837999999999,131.043976,644198400000,,0,1,I/ydx32PEfCuUALpWEZeRw==,I/ydx32PEfCuUALpWEZeRw==,
Howles Pharmacy,-31.09161,150.91922,644198400000,,0,1,I/yoB32PEfCuUALpWEZeRw==,I/yoB32PEfCuUALpWEZeRw==,
Howlong Community Pharmacy,-35.979355,146.62605299999998,644198400000,,0,1,I/yyTn2PEfCuUALpWEZeRw==,I/yyTn2PEfCuUALpWEZeRw==,
Hoxton Park Pharmacy,-33.926987,150.857162,644198400000,,0,1,I/y8n32PEfCuUALpWEZeRw==,I/y8n32PEfCuUALpWEZeRw==,
HPS - Lady Davidson Pharmacy,-33.691502,151.151154,644198400000,,0,1,I/zHLn2PEfCuUALpWEZeRw==,I/zHLn2PEfCuUALpWEZeRw==,
HPS Gold Coast Private Hospital Pharmacy,-27.961651,153.38407899999999,644198400000,,0,1,I/zRn32PEfCuUALpWEZeRw==,I/zRn32PEfCuUALpWEZeRw==,
HPS Pharmacies,-33.831458999999995,151.20178199999998,644198400000,,0,1,I/zcFX2PEfCuUALpWEZeRw==,I/zcFX2PEfCuUALpWEZeRw==,
HPS Pharmacies - Ashford,-34.946884,138.57725499999998,644198400000,,0,1,I/zm+H2PEfCuUALpWEZeRw==,I/zm+H2PEfCuUALpWEZeRw==,
HPS Pharmacies - Ashford Hospital,-34.948414,138.577179,644198400000,,0,1,I/zxSX2PEfCuUALpWEZeRw==,I/zxSX2PEfCuUALpWEZeRw==,
HPS Pharmacies - Knox,-37.849453,145.227142,644198400000,,0,1,I/0Fs32PEfCuUALpWEZeRw==,I/0Fs32PEfCuUALpWEZeRw==,
HPS Pharmacies - Moorabbin,-37.935749,145.05033899999998,644198400000,,0,1,I/0aX32PEfCuUALpWEZeRw==,I/0aX32PEfCuUALpWEZeRw==,
HPS Pharmacies - Randwick,-33.918831,151.238617,644198400000,,0,1,I/0kpn2PEfCuUALpWEZeRw==,I/0kpn2PEfCuUALpWEZeRw==,
HPS Pharmacies - South Hobart,-42.895720999999995,147.306396,644198400000,,0,1,I/0u232PEfCuUALpWEZeRw==,I/0u232PEfCuUALpWEZeRw==,
HPS Pharmacies - St Andrew's,-34.934391,138.614929,644198400000,,0,1,I/05EH2PEfCuUALpWEZeRw==,I/05EH2PEfCuUALpWEZeRw==,
HPS Pharmacies - Sunnybank,-27.571769999999997,153.061172,644198400000,,0,1,I/1Dan2PEfCuUALpWEZeRw==,I/1Dan2PEfCuUALpWEZeRw==,
HPS Pharmacies - Warrnambool,-38.371666,142.478333,644198400000,,0,1,I/1Pmn2PEfCuUALpWEZeRw==,I/1Pmn2PEfCuUALpWEZeRw==,
