"Classification","Business_Name","Title","Address","Suburb","Postcode","State","Country","Distance","GLA"
"Supermarket and Grocery Stores","All Butchers","S W Hollis","209 Maroondah Hwy, Healesville VIC 3777","Healesville","3777","Victoria","Australia","1731.64",""
"Supermarket and Grocery Stores","All Butchers","Yarra Valley Quality Meat Supplies","Shop 10/ 231 Maroondah Hwy, Healesville VIC 3777","Healesville","3777","Victoria","Australia","1731.71",""
"Supermarket and Grocery Stores","All Butchers","Boocock's Quality Meats","225 Stud Rd, Wantirna South VIC 3152","Wantirna South","3152","Victoria","Australia","1731.86",""
"Supermarket and Grocery Stores","All Butchers","Walma's Continental Butcher","4/ 6 High St, Bayswater VIC 3153","Bayswater","3153","Victoria","Australia","1731.89",""
"Supermarket and Grocery Stores","All Butchers","Tasman Market Fresh Meats","Shop 4-5 288 Centre Dandenong Rd, Moorabbin Airport VIC 3194","Moorabbin Airport","3194","Victoria","Australia","1732.22",""
"Supermarket and Grocery Stores","All Butchers","Queenscliff Meats","82 Hesse St, Queenscliff VIC 3225","Queenscliff","3225","Victoria","Australia","1732.62",""
"Supermarket and Grocery Stores","All Butchers","Norm Oliver Meats","Shop 1047, Knox City Shpng Cntr, 425 Burwood Hwy, Wantirna South VIC 3152","Wantirna South","3152","Victoria","Australia","1732.65",""
"Supermarket and Grocery Stores","All Butchers","Mulgrave Meats","38 Wanda St, Mulgrave VIC 3170","Mulgrave","3170","Victoria","Australia","1732.67",""
"Supermarket and Grocery Stores","All Butchers","Blueglen Meats","Kilsyth Shopng Cntr, Kilsyth VIC 3137","Kilsyth South","3137","Victoria","Australia","1732.97",""
"Supermarket and Grocery Stores","All Butchers","Sunshine Meat Poultry Pty Ltd","21 Eileen Rd, Clayton South VIC 3169","Clayton South","3169","Victoria","Australia","1733.13",""
"Supermarket and Grocery Stores","All Butchers","Plantolin Australia Pty Ltd","169 Como Parade East, Parkdale VIC 3195","Parkdale","3195","Victoria","Australia","1733.2",""
"Supermarket and Grocery Stores","All Butchers","Rixon J E","258 Como Parade, Parkdale VIC 3195","Parkdale","3195","Victoria","Australia","1733.21",""
"Supermarket and Grocery Stores","All Butchers","Parkdale Quality Meats","258 Como Parade, Parkdale VIC 3195","Parkdale","3195","Victoria","Australia","1733.21",""
"Supermarket and Grocery Stores","All Butchers","Fleischers Continental Butchers","203- 205 Scoresby Rd, Boronia VIC 3155","Boronia","3155","Victoria","Australia","1733.45",""
"Supermarket and Grocery Stores","All Butchers","Montrose Meat Supply","922 Mt Dandenong Rd, Montrose VIC 3765","Montrose","3765","Victoria","Australia","1733.82",""
"Supermarket and Grocery Stores","All Butchers","Murheng Quality Butcher","24 Buckingham Ave, Springvale VIC 3171","Springvale","3171","Victoria","Australia","1733.92",""
"Supermarket and Grocery Stores","All Butchers","VL Butcher","3 Balmore Ave, Springvale VIC 3171","Springvale","3171","Victoria","Australia","1733.99",""
"Supermarket and Grocery Stores","All Butchers","Stapleton's Quality Meats","782 Princes Hwy, Sutherland NSW 2232","Springvale","3171","Victoria","Australia","1734.01",""
"Supermarket and Grocery Stores","All Butchers","Hewett's Quality Butchers","28 Wray Crst, Mt Evelyn VIC 3796","Mount Evelyn","3796","Victoria","Australia","1734.03",""
"Supermarket and Grocery Stores","All Butchers","Alchester Village Quality Meats","8 Alchester Crst, Boronia VIC 3155","Boronia","3155","Victoria","Australia","1734.04",""
"Supermarket and Grocery Stores","All Butchers","Song Hiep","G 31 Springvale Shop Centre, 48-54 Buckingham Ave, Springvale VIC 3171","Springvale","3171","Victoria","Australia","1734.06",""
"Supermarket and Grocery Stores","All Butchers","Tan Asia Butcher","Shop 16/ 268 Springvale Rd, Springvale VIC 3171","Springvale","3171","Victoria","Australia","1734.1",""
"Supermarket and Grocery Stores","All Butchers","Nam-Heip Butcher","4A Windsor Ave, Springvale VIC 3171","Springvale","3171","Victoria","Australia","1734.17",""
"Supermarket and Grocery Stores","All Butchers","J Z Butcher & Seafood Pty Ltd","45 Buckingham Ave, Springvale VIC 3171","Springvale","3171","Victoria","Australia","1734.19",""
"Supermarket and Grocery Stores","All Butchers","Phuoc Dat","2C Windsor Ave, Springvale VIC 3171","Springvale","3171","Victoria","Australia","1734.19",""
"Supermarket and Grocery Stores","All Butchers","JBS Australia","96 St Christophers Chapel Rd, Nerimbera QLD 4701","Nerimbera","4701","Queensland","Australia","1734.25",""
"Supermarket and Grocery Stores","All Butchers","Scoresby Discount Meat Outlet","Shop 6/ 1335 Ferntree Gully Rd, Scoresby VIC 3179","Scoresby","3179","Victoria","Australia","1734.47",""
"Supermarket and Grocery Stores","All Butchers","P And P Meats","4/ 309 Boundary Rd, Mordialloc VIC 3195","Mordialloc","3195","Victoria","Australia","1734.57",""
"Supermarket and Grocery Stores","All Butchers","Oriental Traders Pty Ltd","10 Bond St, Braeside VIC 3195","Mordialloc","3195","Victoria","Australia","1734.87",""
"Supermarket and Grocery Stores","All Butchers","Percy P & D","1595 Ferntree Gully Rd, Knoxfield VIC 3180","Knoxfield","3180","Victoria","Australia","1735.25",""
"Supermarket and Grocery Stores","All Butchers","J A Simmonds Pty Ltd","1595 Ferntree Gully Rd, Knoxfield VIC 3180","Knoxfield","3180","Victoria","Australia","1735.25",""
"Supermarket and Grocery Stores","All Butchers","Dingley Village Gourmet Meats","103 Centre Dandenong Rd, Dingley VIC 3172","Dingley Village","3172","Victoria","Australia","1735.65",""
"Supermarket and Grocery Stores","All Butchers","Kinghams Butchery","135 Adelaide St, Blayney NSW 2799","Blayney","2799","New South Wales","Australia","1735.85",""
"Supermarket and Grocery Stores","All Butchers","Kingham Butchery","135 Adelaide St, Blayney NSW 2799","Blayney","2799","New South Wales","Australia","1735.85",""
"Supermarket and Grocery Stores","All Butchers","Western Fresh Meats","Shp 1/ 497 Princes Hwy, Noble Park VIC 3174","Noble Park","3174","Victoria","Australia","1735.92",""
"Supermarket and Grocery Stores","All Butchers","Blayney Hi-Grade Meats","128 Adelaide St, Blayney NSW 2799","Blayney","2799","New South Wales","Australia","1735.94",""
"Supermarket and Grocery Stores","All Butchers","Scorex Pty Ltd","21 Industrial Dr, Braeside VIC 3195","Braeside","3195","Victoria","Australia","1735.97",""
"Supermarket and Grocery Stores","All Butchers","Metro Meats","21 Industrial Dr, Braeside VIC 3195","Braeside","3195","Victoria","Australia","1735.97",""
"Supermarket and Grocery Stores","All Butchers","The Basin Meat Supply","1319 Mountain Hwy, The Basin VIC 3154","The Basin","3154","Victoria","Australia","1736.02",""
"Supermarket and Grocery Stores","All Butchers","The Basin Free Range and Grass Fed Meats","1319 Mountain Hwy, The Basin VIC 3154","The Basin","3154","Victoria","Australia","1736.02",""
"Supermarket and Grocery Stores","All Butchers","Knoxgate Butchers","1080 Stud Rd, Rowville VIC 3178","Rowville","3178","Victoria","Australia","1736.28",""
"Supermarket and Grocery Stores","All Butchers","HT POULTRY","3 21A Douglas St, Noble Park VIC 3174","Noble Park","3174","Victoria","Australia","1736.67",""
"Supermarket and Grocery Stores","All Butchers","Stud Park Lindens Fresh","Shop 40/ Fulham Rd, Scoresby VIC 3179","Rowville","3178","Victoria","Australia","1736.75",""
"Supermarket and Grocery Stores","All Butchers","Itimat 2","13 Ian St, Noble Park VIC 3174","Noble Park","3174","Victoria","Australia","1736.85",""
"Supermarket and Grocery Stores","All Butchers","Noble Park Halhal Meat Market","13 Ian St, Noble Park VIC 3174","Noble Park","3174","Victoria","Australia","1736.85",""
"Supermarket and Grocery Stores","All Butchers","Marty's Meat Supplies","13/ 101 Station St, Ferntree Gully VIC 3156","Ferntree Gully","3156","Victoria","Australia","1736.89",""
"Supermarket and Grocery Stores","All Butchers","Melbourne Continental Small Goods","14A Leonard Ave, Noble Park VIC 3174","Noble Park","3174","Victoria","Australia","1736.95",""
"Supermarket and Grocery Stores","All Butchers","Aspendale Quality Meats Pty Ltd","134 Station St, Aspendale VIC 3195","Aspendale","3195","Victoria","Australia","1737.51",""
"Supermarket and Grocery Stores","All Butchers","Itimat Butcher","242 Railway Parade, Noble Park VIC 3174","Noble Park","3174","Victoria","Australia","1738.09",""
"Supermarket and Grocery Stores","All Butchers","Seville Butchers","Shop 2/ 585 Warburton Hwy, Seville VIC 3139","Seville","3139","Victoria","Australia","1738.21",""
"Supermarket and Grocery Stores","All Butchers","Linden's Fresh Meat & Poultry","Ferntree Plaza Shopping Centre/ Burwood Hwy, Upper Ferntree Gully VIC 3156","Upper Ferntree Gully","3156","Victoria","Australia","1738.71",""
"Supermarket and Grocery Stores","All Butchers","Donohoe J F & Sons","25 Marsden St, Boorowa NSW 2586","Boorowa","2586","New South Wales","Australia","1738.76",""
"Supermarket and Grocery Stores","All Butchers","Walker's Family Meats Pty Ltd","Shop 116/ 317 Cheltenham Rd, Keysborough VIC 3173","Keysborough","3173","Victoria","Australia","1738.83",""
"Supermarket and Grocery Stores","All Butchers","Quality Works Butcher","Parkmore Shopng Cntr Shop 11/ Cheltenham Rd, Keysborough VIC 3173","Keysborough","3173","Victoria","Australia","1738.83",""
"Supermarket and Grocery Stores","All Butchers","Food 2 Table","Dandenong VIC 3175","Dandenong","3175","Victoria","Australia","1740.31",""
"Supermarket and Grocery Stores","All Butchers","Marmara Meats","17 Cleeland St, Dandenong VIC 3175","Dandenong","3175","Victoria","Australia","1740.52",""
"Supermarket and Grocery Stores","All Butchers","T C Quality Meats","16 Clow St, Dandenong VIC 3175","Dandenong","3175","Victoria","Australia","1740.53",""
"Supermarket and Grocery Stores","All Butchers","Chelsea Meats","433 Nepean Hwy, Chelsea VIC 3196","Chelsea","3196","Victoria","Australia","1740.58",""
"Supermarket and Grocery Stores","All Butchers","Sadaqat Halal Butcher","261 Thomas St, Dandenong VIC 3175","Dandenong","3175","Victoria","Australia","1740.59",""
"Supermarket and Grocery Stores","All Butchers","Saray Halal Meats","280 Lonsdale St, Dandenong VIC 3175","Dandenong","3175","Victoria","Australia","1740.62",""
"Supermarket and Grocery Stores","All Butchers","Barraba Beef","132 Queen St, Barraba NSW 2347","Barraba","2347","New South Wales","Australia","1740.73",""
"Supermarket and Grocery Stores","All Butchers","Best Price Butcher & Seafood","14 McCrae St, Dandenong VIC 3175","Dandenong","3175","Victoria","Australia","1740.73",""
"Supermarket and Grocery Stores","All Butchers","Proud Chic Megameats","225 Wells Rd, Chelsea Heights VIC 3196","Chelsea Heights","3196","Victoria","Australia","1740.89",""
"Supermarket and Grocery Stores","All Butchers","Sav's Halal Butchery","33A Langhorne St, Dandenong VIC 3175","Dandenong","3175","Victoria","Australia","1740.96",""
"Supermarket and Grocery Stores","All Butchers","Rob's British Butchers","177 Lonsdale St, Dandenong VIC 3175","Dandenong","3175","Victoria","Australia","1740.97",""
"Supermarket and Grocery Stores","All Butchers","Oakdale Meat Co Pty Ltd","39-41 Amberley Crst, Dandenong South VIC 3175","Dandenong South","3175","Victoria","Australia","1741.94",""
"Supermarket and Grocery Stores","All Butchers","Butterfield Beef","PO Box 17, Borden WA 6338","Borden","6338","Western Australia","Australia","1742.36",""
"Supermarket and Grocery Stores","All Butchers","Tenderfresh Meats Pty Ltd","Endeavour Hills Shopng Cntr, Endeavour Hills VIC 3802","Endeavour Hills","3802","Victoria","Australia","1742.6",""
"Supermarket and Grocery Stores","All Butchers","Belgrave Meats","1667 Burwood Hwy, Belgrave VIC 3160","Belgrave","3160","Victoria","Australia","1742.62",""
"Supermarket and Grocery Stores","All Butchers","Woori Yallock Butchers","Shop 8/ 1595 Warburton Hwy, Woori Yallock VIC 3139","Woori Yallock","3139","Victoria","Australia","1742.62",""
"Supermarket and Grocery Stores","All Butchers","Linden Meats","508 Station St, Carrum VIC 3197","Carrum","3197","Victoria","Australia","1742.79",""
"Supermarket and Grocery Stores","All Butchers","Monbulk Family Butchers","126 Main Rd, Monbulk VIC 3793","Monbulk","3793","Victoria","Australia","1742.83",""
"Supermarket and Grocery Stores","All Butchers","Sorrento Meat Company","55 Ocean Beach Rd, Sorrento VIC 3943","Sorrento","3943","Victoria","Australia","1743.13",""
"Supermarket and Grocery Stores","All Butchers","Cutfresh Pty Ltd","Factory 2/ 14B Redgum Dr, Dandenong South VIC 3175","Dandenong South","3175","Victoria","Australia","1743.15",""
"Supermarket and Grocery Stores","All Butchers","Rtm Meats Pty Ltd","Shop 28/ 1 Matthew Flinders Ave, Endeavour Hills VIC 3802","Endeavour Hills","3802","Victoria","Australia","1743.29",""
"Supermarket and Grocery Stores","All Butchers","Lakeview Meats","Lakeview Shopping Centre, Patterson Lakes VIC 3197","Patterson Lakes","3197","Victoria","Australia","1743.31",""
"Supermarket and Grocery Stores","All Butchers","Lakeview Meats","Lakeview Shopping Centre Gladesville Dr, Patterson Lakes VIC 3197","Patterson Lakes","3197","Victoria","Australia","1743.31",""
"Supermarket and Grocery Stores","All Butchers","Castricum Foodservice Pty Ltd","342A Hammond Rd, Dandenong VIC 3175","Dandenong South","3175","Victoria","Australia","1743.46",""
"Supermarket and Grocery Stores","All Butchers","Prime Foods Services Pty Ltd","15 Llewellyn Pl, Eumemmerring VIC 3177","Eumemmerring","3177","Victoria","Australia","1743.72",""
"Supermarket and Grocery Stores","All Butchers","Baywide Meats Pty Ltd","23 Torquay Ave, Seaford VIC 3198","Seaford","3198","Victoria","Australia","1744.75",""
"Supermarket and Grocery Stores","All Butchers","Nelson Family Meats","43 High St, Jandowae QLD 4410","Jandowae","4410","Queensland","Australia","1744.86",""
"Supermarket and Grocery Stores","All Butchers","Hallem Butcher","40 Spring Sq, Hallam VIC 3803","Hallam","3803","Victoria","Australia","1745.27",""
"Supermarket and Grocery Stores","All Butchers","Al-Noor Supermarket And Halal Butcher","12 Spring Sq, Hallam VIC 3803","Hallam","3803","Victoria","Australia","1745.34",""
"Supermarket and Grocery Stores","All Butchers","Binalong Butchery","Fitzroy St, Binalong NSW 2584","Binalong","2584","New South Wales","Australia","1745.57",""
"Supermarket and Grocery Stores","All Butchers","Dandy-Mart Hampton-Park","Shop 54/ 166 Somerville Rd, Hampton Park VIC 3976","Hampton Park","3976","Victoria","Australia","1747.57",""
"Supermarket and Grocery Stores","All Butchers","Stevo's Gourmet Meats & Spit Hire","Sh 13, 65 Hallam Rd, Hampton Park Food Market, Hampton Park, Hampton Park VIC 3976","Hampton Park","3976","Victoria","Australia","1747.61",""
"Supermarket and Grocery Stores","All Butchers","Sam Failla's Quality Meats","2456 Warburton Hwy, Yarra Junction VIC 3797","Yarra Junction","3797","Victoria","Australia","1747.86",""
"Supermarket and Grocery Stores","All Butchers","Country Meats","Shop 41 Hall Rd, Carrum Downs VIC 3201","Carrum Downs","3201","Victoria","Australia","1748.07",""
"Supermarket and Grocery Stores","All Butchers","Bayside Meats","Bayside Shopng Cntr Shop 15g/ Rossmith Ave, Frankston VIC 3199","Frankston","3199","Victoria","Australia","1748.32",""
"Supermarket and Grocery Stores","All Butchers","Fountain Fresh Meat & Chicken","Shop 2036 / 40 Magid Dr, Narre Warren VIC 3805","Narre Warren","3805","Victoria","Australia","1748.42",""
"Supermarket and Grocery Stores","All Butchers","Wildes Fresh Meats","11 Station St, Frankston VIC 3199","Frankston","3199","Victoria","Australia","1748.43",""
"Supermarket and Grocery Stores","All Butchers","Knoxgate Butchers","75 Lynbrook Blv, Lynbrook VIC 3975","Lynbrook","3975","Victoria","Australia","1748.62",""
"Supermarket and Grocery Stores","All Butchers","Western Fresh Meats","Fountain Gate Shop 3/ Magid Dr, Narre Warren VIC 3805","Narre Warren","3805","Victoria","Australia","1748.63",""
"Supermarket and Grocery Stores","All Butchers","Tasman Market Fresh Meats","71-77 Young St, Frankston VIC 3199","Frankston","3199","Victoria","Australia","1748.64",""
"Supermarket and Grocery Stores","All Butchers","Prettys Prime Cuts - Fountain Gate","Shop 2098 Westfield Shopping Centre 352 Princes Hwy, Narre Warren VIC 3805","Narre Warren","3805","Victoria","Australia","1748.65",""
"Supermarket and Grocery Stores","All Butchers","Lindens Country Meats","Parkhill Plaza 215 Parkhill Dr, Berwick VIC 3806","Berwick","3806","Victoria","Australia","1749.41",""
"Supermarket and Grocery Stores","All Butchers","Emerald Village Meats","Cnr Main St and Kilvington Rd, Emerald VIC 3782","Emerald","3782","Victoria","Australia","1749.67",""
"Supermarket and Grocery Stores","All Butchers","J Smoker's Fine Meats","52 Mt Eliza Way, Mt Eliza VIC 3930","Mount Eliza","3930","Victoria","Australia","1749.81",""
"Supermarket and Grocery Stores","All Butchers","Village Gourmet Meats","100 Mt Eliza Way, Mt Eliza VIC 3930","Mount Eliza","3930","Victoria","Australia","1749.87",""
"Supermarket and Grocery Stores","All Butchers","Eliza Meats","112B Mt Eliza Way, Mt Eliza VIC 3930","Mount Eliza","3930","Victoria","Australia","1749.91",""
"Supermarket and Grocery Stores","All Butchers","Meat @ Rye","2411 Point Nepean Rd, Rye VIC 3941","Rye","3941","Victoria","Australia","1750.31",""
"Supermarket and Grocery Stores","All Butchers","Inglewood Meat Mart","66 Albert St, Inglewood QLD 4387","Inglewood","4387","Queensland","Australia","1750.5",""
"Supermarket and Grocery Stores","All Butchers","Fulla Fresh Meats","7 Fuller St, Tumut NSW 2720","Tumut","2720","New South Wales","Australia","1750.54",""
"Supermarket and Grocery Stores","All Butchers","Warburton Quality Meat","3461 Warburton Hwy, Warburton VIC 3799","Warburton","3799","Victoria","Australia","1750.6",""
"Supermarket and Grocery Stores","All Butchers","Meat Heath Pty Ltd","2187 Point Nepan Rd, Blairgowrie VIC 3942","Rye","3941","Victoria","Australia","1750.83",""
"Supermarket and Grocery Stores","All Butchers","Franklin Butchery","152 Capper St, Tumut NSW 2720","Tumut","2720","New South Wales","Australia","1751.24",""
"Supermarket and Grocery Stores","All Butchers","Hillock Downs","151 Dundas St, Rye VIC 3941","Rye","3941","Victoria","Australia","1751.94",""
"Supermarket and Grocery Stores","All Butchers","Griffin And Morris Village Butchers","60 High St, Berwick VIC 3806","Berwick","3806","Victoria","Australia","1752.1",""
"Supermarket and Grocery Stores","All Butchers","Cranbourne Meat","Thompson Parkway, Corner Thompsons Road and South Gippsland Highway, Cranbourne North VIC 3977","Cranbourne North","3977","Victoria","Australia","1752.25",""
"Supermarket and Grocery Stores","All Butchers","Tasman Market Fresh Meats","9-15 Enterprise Ave, Berwick VIC 3806","Berwick","3806","Victoria","Australia","1752.39",""
"Supermarket and Grocery Stores","All Butchers","Bell's Gourmet Meats","24 Lochiel Ave, Mt Martha VIC 3934","Mount Martha","3934","Victoria","Australia","1752.48",""
"Supermarket and Grocery Stores","All Butchers","Myers Gourmet Meats","Shop 5/ 210 Dunns Rd, Mornington VIC 3931","Mornington","3931","Victoria","Australia","1752.61",""
"Supermarket and Grocery Stores","All Butchers","Moody Cow The","Shop 2 McBride St, Cockatoo VIC 3781","Cockatoo","3781","Victoria","Australia","1752.92",""
"Supermarket and Grocery Stores","All Butchers","Mercieca Dorothy","1/ 19 Tanyalee Ct, Mt Martha VIC 3934","Mount Martha","3934","Victoria","Australia","1753.12",""
"Supermarket and Grocery Stores","All Butchers","Marshalls Quality Meats","Shop 6/ 385 Cranbourne Frankston Rd, Langwarrin VIC 3910","Langwarrin","3910","Victoria","Australia","1753.17",""
"Supermarket and Grocery Stores","All Butchers","McKays Quality Meats","The Gateway Shopping Centre Shop 10t Cranbourne Frankston Rd, Langwarrin VIC 3910","Langwarrin","3910","Victoria","Australia","1753.3",""
"Supermarket and Grocery Stores","All Butchers","Gateway Village Meats","Shop T 10 The Gateway Shopping Village, Langwarrin VIC 3910","Langwarrin","3910","Victoria","Australia","1753.3",""
"Supermarket and Grocery Stores","All Butchers","Burnett Butchery","53 Moreton St, Eidsvold QLD 4627","Eidsvold","4627","Queensland","Australia","1753.62",""
"Supermarket and Grocery Stores","All Butchers","Greg's Family Gourmet Butchers","1035 Point Nepean Rd, Rosebud VIC 3939","Rosebud","3939","Victoria","Australia","1753.82",""
"Supermarket and Grocery Stores","All Butchers","Cliffex Meats Pty Ltd","Shop R 44A Rosebud Plaza McComb & Boneo St, Rosebud VIC 3939","Rosebud","3939","Victoria","Australia","1753.83",""
"Supermarket and Grocery Stores","All Butchers","Cliffex Meats Pty Ltd","Shop 4 Rosebud Central McDowel St, Rosebud VIC 3939","Rosebud","3939","Victoria","Australia","1753.88",""
"Supermarket and Grocery Stores","All Butchers","Cliffex Meats","Shop 4 McDowell St, Rosebud Central, Rosebud VIC 3939","Rosebud","3939","Victoria","Australia","1753.94",""
"Supermarket and Grocery Stores","All Butchers","Tasman Market Fresh Meats","859-865 Point Nepean Rd, Rosebud VIC 3939","Rosebud","3939","Victoria","Australia","1754.04",""
"Supermarket and Grocery Stores","All Butchers","Fresh Cut Meats","Mt Martha VIC 3934","Mount Martha","3934","Victoria","Australia","1754.3",""
"Supermarket and Grocery Stores","All Butchers","Central Park Meats","Shop 24/ 1 Oshea Rd, Berwick VIC 3806","Berwick","3806","Victoria","Australia","1754.3",""
"Supermarket and Grocery Stores","All Butchers","Ricardi's Alpine Gourmet Meats","2 Barnard St, Bright VIC 3741","Bright","3741","Victoria","Australia","1754.34",""
"Supermarket and Grocery Stores","All Butchers","Steve's Quality Meats","1/ 1 Wark Parade, Bathurst NSW 2795","Windradyne","2795","New South Wales","Australia","1754.39",""
"Supermarket and Grocery Stores","All Butchers","Kerrie Road Butchers","6 Sugarloaf Rd, Beaconsfield Upper VIC 3808","Beaconsfield Upper","3808","Victoria","Australia","1754.42",""
"Supermarket and Grocery Stores","All Butchers","Red Hill Gourmet Meats Country Smokehouse","McCrae Plaza Shop 12 179 Point Nepean Rd, McCrae VIC 3938","McCrae","3938","Victoria","Australia","1754.44",""
"Supermarket and Grocery Stores","All Butchers","Gourmet Treats Pty Ltd","12-14 Ireland St, Bright VIC 3741","Bright","3741","Victoria","Australia","1754.49",""
"Supermarket and Grocery Stores","All Butchers","McKay's Family Butchers","Shop 3 Cranbourne Park Shopping Centre, Cranbourne VIC 3977","Cranbourne","3977","Victoria","Australia","1754.84",""
"Supermarket and Grocery Stores","All Butchers","Kelly's Meats","Cranbourne Park Shopping Center Shop 11, Cranbourne VIC 3977","Cranbourne","3977","Victoria","Australia","1754.85",""
"Supermarket and Grocery Stores","All Butchers","Peninsula Bulk Meats","Factory 8 16-18 Henry Wilson Dr, Capel Sound VIC 3940","Rosebud","3939","Victoria","Australia","1754.98",""
"Supermarket and Grocery Stores","All Butchers","Greg's Family Gourmet Butchers","11 Pier St, Dromana VIC 3936","Dromana","3936","Victoria","Australia","1755.32",""
"Supermarket and Grocery Stores","All Butchers","Dino's Meats Pty Ltd","2 Carrigg St, Dromana VIC 3936","Dromana","3936","Victoria","Australia","1755.33",""
"Supermarket and Grocery Stores","All Butchers","Jaques' Coastal Meats","33 Arthur St, Yeppoon QLD 4703","Yeppoon","4703","Queensland","Australia","1755.43",""
"Supermarket and Grocery Stores","All Butchers","Sadler's Butchers","Yougenup Rd, Gnowangerup WA 6335","Gnowangerup","6335","Western Australia","Australia","1756.12",""
"Supermarket and Grocery Stores","All Butchers","Ricardi's Alpine Gourmet Meats","Bright VIC 3741","Bright","3741","Victoria","Australia","1756.16",""
"Supermarket and Grocery Stores","All Butchers","A & B Quality Meats","280 Lambert St, West Bathurst NSW 2795","West Bathurst","2795","New South Wales","Australia","1756.27",""
"Supermarket and Grocery Stores","All Butchers","Billingtons Cedar Park Meats","Shop 2b Cedar Park Shopping Centre, Yeppoon QLD 4703","Taranganba","4703","Queensland","Australia","1756.34",""
"Supermarket and Grocery Stores","All Butchers","The Meat Chiller","1/9 Thomson Tce, Dromana VIC 3936","Dromana","3936","Victoria","Australia","1756.78",""
"Supermarket and Grocery Stores","All Butchers","Little Acres Smallgoods Pty Ltd","252 Stewart St, Bathurst NSW 2795","Bathurst","2795","New South Wales","Australia","1756.95",""
"Supermarket and Grocery Stores","All Butchers","Don's Meats","10 The Arcade St, Cranbourne VIC 3977","Junction Village","3977","Victoria","Australia","1757.43",""
"Supermarket and Grocery Stores","All Butchers","meat2pleaseu.com.au","Bathurst NSW 2795","Bathurst","2795","New South Wales","Australia","1757.7",""
"Supermarket and Grocery Stores","All Butchers","Rob & Vic's Farm Butchering Service","""Tralee"", Manilla NSW 2346","Manilla","2346","New South Wales","Australia","1757.81",""
"Supermarket and Grocery Stores","All Butchers","Fresh Feast Meat Pty Ltd","Shop 14/ 49 West Eramosa Rd, Somerville VIC 3912","Somerville","3912","Victoria","Australia","1757.86",""
"Supermarket and Grocery Stores","All Butchers","Coolart Country Smoke House","Shop 8, Somerville Plaza, Eramosa West Rd, Somerville VIC 3912","Somerville","3912","Victoria","Australia","1757.97",""
"Supermarket and Grocery Stores","All Butchers","Crest Fresh Poultry","Sommerville Plaza Shop 1/ 17 Eramosa Rd West, Somerville VIC 3912","Somerville","3912","Victoria","Australia","1757.97",""
"Supermarket and Grocery Stores","All Butchers","Keppel Meats","88 Keppel, Bathurst NSW 2795","Bathurst","2795","New South Wales","Australia","1757.98",""
"Supermarket and Grocery Stores","All Butchers","Mountain Meats","Bathurst City Centre Shop 2/ Hawick St, Bathurst NSW 2795","Bathurst","2795","New South Wales","Australia","1758.03",""
"Supermarket and Grocery Stores","All Butchers","Peters Meats","17 Bathurst Shopng Ctr, Bathurst NSW 2795","Bathurst","2795","New South Wales","Australia","1758.03",""
"Supermarket and Grocery Stores","All Butchers","South Bathurst Butcher","44A Rocket St, Bathurst NSW 2795","South Bathurst","2795","New South Wales","Australia","1758.1",""
"Supermarket and Grocery Stores","All Butchers","Somerville Village Meats","Eramosa Rd East, Somerville VIC 3912","Somerville","3912","Victoria","Australia","1759.41",""
"Supermarket and Grocery Stores","All Butchers","Pearcedale Village Meats","Shop 13 Pearcedale Village Shopping Centre, Pearcedale VIC 3912","Pearcedale","3912","Victoria","Australia","1759.68",""
"Supermarket and Grocery Stores","All Butchers","Monto Meats","56 Newton St, Monto QLD 4630","Monto","4630","Queensland","Australia","1759.69",""
"Supermarket and Grocery Stores","All Butchers","Culberts Meats","14 Drayton St, Dalby QLD 4405","Dalby","4405","Queensland","Australia","1760.06",""
"Supermarket and Grocery Stores","All Butchers","G & K Allen Quality Meats","7 Kelso Centrepoint Plza, Bathurst NSW 2795","Kelso","2795","New South Wales","Australia","1760.08",""
"Supermarket and Grocery Stores","All Butchers","Manilla Meats","195 Manilla St, Manilla NSW 2346","Manilla","2346","New South Wales","Australia","1760.47",""
"Supermarket and Grocery Stores","All Butchers","Emu Park Meats","22 Hill St, Emu Park QLD 4710","Emu Park","4710","Queensland","Australia","1760.53",""
"Supermarket and Grocery Stores","All Butchers","Ashtons Butchery","Shop 7 Dalby Shopping World, Dalby QLD 4405","Dalby","4405","Queensland","Australia","1760.82",""
"Supermarket and Grocery Stores","All Butchers","Southside Quality Meats","106 Drayton St, Dalby QLD 4405","Dalby","4405","Queensland","Australia","1761.0",""
"Supermarket and Grocery Stores","All Butchers","Only Poultry & Game","Shop 8/ Lakeside Blv, Pakenham VIC 3810","Pakenham","3810","Victoria","Australia","1761.2",""
"Supermarket and Grocery Stores","All Butchers","Not Just Poultry","11 Pakenham Rd, Pakenham VIC 3810","Pakenham","3810","Victoria","Australia","1762.16",""
"Supermarket and Grocery Stores","All Butchers","Red Hill Gourmet Meats & Country Smokehouse","Shop 12 19 Red Hill Shoram Rd, Red Hill South VIC 3937","Red Hill South","3937","Victoria","Australia","1762.74",""
"Supermarket and Grocery Stores","All Butchers","Rylstone Butchery Pty Ltd","53 Louee St, Rylstone NSW 2849","Rylstone","2849","New South Wales","Australia","1763.85",""
"Supermarket and Grocery Stores","All Butchers","Norm's Main St Meats","135 Main St, Pakenham VIC 3810","Pakenham","3810","Victoria","Australia","1764.14",""
"Supermarket and Grocery Stores","All Butchers","Tumba Meats","22 The Parade, Tumbarumba NSW 2653","Tumbarumba","2653","New South Wales","Australia","1764.16",""
